-- Logs begin at Tue 2019-12-17 22:38:51 UTC, end at Thu 2019-12-19 09:13:15 UTC. --
Dec 19 08:52:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:52:32.406590 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000637-0000000002f4f6f8.wal is created
Dec 19 09:04:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:23.225260 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "error:context canceled" took too long (30.000324804s) to execute
Dec 19 09:04:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:23.226169 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "error:context canceled" took too long (30.001304363s) to execute
Dec 19 09:04:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:23.228269 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.rbac.authorization.k8s.io\" " with result "error:context canceled" took too long (30.003201894s) to execute
Dec 19 09:04:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:23.228317 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.networking.k8s.io\" " with result "error:context canceled" took too long (30.004481564s) to execute
Dec 19 09:04:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:23.614561 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:23.614668 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:24.114770 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:24.114822 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:24.615043 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:24.615202 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:24.747584 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "error:context canceled" took too long (9.920281025s) to execute
Dec 19 09:04:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:24.747677 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wmksv\" " with result "error:context canceled" took too long (9.928026596s) to execute
Dec 19 09:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:25.115390 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:25.115450 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:25.616044 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:25.616090 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:26.116211 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:26.116267 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:26.513148 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "error:context canceled" took too long (9.929347979s) to execute
Dec 19 09:04:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:26.514843 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "error:context canceled" took too long (9.963149408s) to execute
Dec 19 09:04:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:26.515257 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-whlcs\" " with result "error:context canceled" took too long (9.958400428s) to execute
Dec 19 09:04:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:26.515906 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-whlcs.15e1ba47573d345f\" " with result "error:context canceled" took too long (1.353706381s) to execute
Dec 19 09:04:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:26.516112 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-czlhk\" " with result "error:context canceled" took too long (9.931825394s) to execute
Dec 19 09:04:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:26.517262 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "error:context canceled" took too long (9.924018938s) to execute
Dec 19 09:04:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:26.616525 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:26.616571 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:27.116917 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:27.116967 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:27.617463 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:27.617521 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:28.117587 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:28.117658 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:28.618231 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:28.618330 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:29.118458 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:29.118511 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:29.618657 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:29.618794 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:30.118725 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:30.118787 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:30.619218 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:30.619280 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:31.119404 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:31.119488 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:31.138281 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rq4jm\" " with result "error:context canceled" took too long (9.894727807s) to execute
Dec 19 09:04:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:31.138717 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "error:context canceled" took too long (9.895240103s) to execute
Dec 19 09:04:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:31.318592 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "error:context canceled" took too long (9.961142975s) to execute
Dec 19 09:04:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:31.619644 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:31.619680 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:32.120039 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:32.120089 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:32.620566 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:32.620719 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:33.120631 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:33.120686 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:33.620794 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:33.620866 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:34.121131 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:34.121289 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:34.621557 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:34.621630 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:34.748644 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lf9xf\" " with result "error:context canceled" took too long (9.926114038s) to execute
Dec 19 09:04:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:34.748791 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "error:context canceled" took too long (9.91725956s) to execute
Dec 19 09:04:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:35.121923 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:35.121977 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:35.622287 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:35.622367 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:36.122531 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:36.122617 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:36.513390 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-czlhk\" " with result "error:context canceled" took too long (9.935984105s) to execute
Dec 19 09:04:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:36.513646 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "error:context canceled" took too long (9.937423425s) to execute
Dec 19 09:04:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:36.514060 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-czlhk.15e1ba4806804789\" " with result "error:context canceled" took too long (9.936643018s) to execute
Dec 19 09:04:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:36.523923 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-whlcs\" " with result "error:context canceled" took too long (9.869042951s) to execute
Dec 19 09:04:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:36.524216 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "error:context canceled" took too long (9.879993076s) to execute
Dec 19 09:04:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:36.524374 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "error:context canceled" took too long (9.97150272s) to execute
Dec 19 09:04:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:36.622722 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:36.622804 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:37.122977 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:37.123067 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:37.623459 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:37.623542 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:38.123525 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:38.123582 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:38.623684 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:38.623737 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:39.124012 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:39.124081 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:39.624299 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:39.624351 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:40.124913 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:40.124980 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:40.625262 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:40.625385 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:41.125574 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:41.125657 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:41.135677 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "error:context canceled" took too long (9.880546958s) to execute
Dec 19 09:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:41.136543 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rq4jm\" " with result "error:context canceled" took too long (9.884548512s) to execute
Dec 19 09:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:41.321459 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "error:context canceled" took too long (9.961983811s) to execute
Dec 19 09:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:41.322692 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-scheduler-openhouse-demo-k8s-master-1.15d2b8691f895acb\" " with result "error:context canceled" took too long (9.96274218s) to execute
Dec 19 09:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:41.625724 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:41.625777 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.126154 W | etcdserver: failed to revoke 4f0b6e20ca53572f ("etcdserver: request timed out")
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.126206 W | etcdserver: failed to revoke 4f0b6e20ca52d847 ("etcdserver: request timed out")
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.616330 W | etcdserver: request "header:<ID:14919139277707368337 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:45005890 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<>>" with result "size:20" took too long (29.242774853s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.618090 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (43.384063703s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.618436 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (48.775179705s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.618556 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (49.11487487s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.618762 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (49.559094872s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.618942 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (44.13460124s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.619089 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (50.060239487s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.619309 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (44.137954758s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.619507 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (51.122844459s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.619619 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (44.205218192s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.619924 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (45.280101381s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.620341 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (46.144960059s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.620645 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (46.554246458s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.620966 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1428" took too long (47.033321505s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.621299 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (48.129042266s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.621618 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (48.342576099s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.621855 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (51.378512213s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.622256 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (51.615790255s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.622666 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (53.799059597s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.622968 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (53.801522407s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.623288 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (53.8530498s) to execute
Dec 19 09:04:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:04:42.623642 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (56.505135191s) to execute
