-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 07:35:41 UTC. --
Feb 01 07:12:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:28.000753 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (273.586268ms) to execute
Feb 01 07:12:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:44.139894 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (336.186485ms) to execute
Feb 01 07:12:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:44.140000 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-q84bf.15ef35c7f165ff9c\" " with result "range_response_count:1 size:520" took too long (226.889064ms) to execute
Feb 01 07:12:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:44.140081 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-f7zml.15ef35c5d9dbe2ed\" " with result "range_response_count:1 size:520" took too long (298.928529ms) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.200294 W | wal: sync duration of 1.253591442s, expected less than 1s
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.203454 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.371710574s) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.203776 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-n5ss6.15ef35c791907407\" " with result "range_response_count:1 size:517" took too long (1.33606925s) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.203989 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7gt7b.15ef35c7b5d248e6\" " with result "range_response_count:1 size:520" took too long (1.293121673s) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.204214 W | etcdserver: request "header:<ID:14919139277751072316 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-75zjl.15ef35cad8f53444\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-75zjl.15ef35cad8f53444\" value_size:467 lease:5695767240896295563 >> failure:<>>" with result "size:20" took too long (1.257377423s) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.204509 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (722.92798ms) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.204719 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-hzcdg.15ef35cef707b0eb\" " with result "range_response_count:1 size:520" took too long (1.153393739s) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.204794 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (722.987042ms) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.204911 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.051542387s) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.205117 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-jf4tn.15ef35c5ae485083\" " with result "range_response_count:1 size:520" took too long (1.16619668s) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.205164 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (845.847566ms) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.205262 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (260.022836ms) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.205463 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:82971" took too long (1.132654425s) to execute
Feb 01 07:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:46.205855 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (931.235571ms) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.512035 W | wal: sync duration of 1.214635526s, expected less than 1s
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.517698 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7trh7.15ef35c7e44370b9\" " with result "range_response_count:1 size:517" took too long (1.209638412s) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.518161 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qq86p\" " with result "range_response_count:1 size:4174" took too long (433.732194ms) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.518212 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (634.276492ms) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.518462 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hzcdg\" " with result "range_response_count:1 size:4172" took too long (467.93762ms) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.518620 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-jf4tn.15ef35c5ae485083\" " with result "range_response_count:1 size:520" took too long (482.345167ms) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.519118 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listcheckers\" range_end:\"/registry/config.istio.io/listcheckert\" count_only:true " with result "range_response_count:0 size:7" took too long (146.387096ms) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.519252 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (903.001593ms) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.519447 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-vrx7d.15ef35c9607f99c6\" " with result "range_response_count:1 size:520" took too long (889.126631ms) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.519569 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (421.352982ms) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.520430 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:82971" took too long (1.053335513s) to execute
Feb 01 07:12:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:47.525269 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (1.193123523s) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.622635 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/policies\" range_end:\"/registry/authentication.istio.io/policiet\" count_only:true " with result "range_response_count:0 size:9" took too long (115.65348ms) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.622726 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-q84bf.15ef35c7e77305dd\" " with result "range_response_count:1 size:571" took too long (874.586732ms) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.622781 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (979.151475ms) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.623089 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7trh7.15ef35c7e44370b9\" " with result "range_response_count:1 size:517" took too long (372.75163ms) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.623116 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (405.54501ms) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.623347 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g86wj\" " with result "range_response_count:1 size:4172" took too long (248.648854ms) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.623448 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-hzcdg.15ef35cf30ac3ced\" " with result "range_response_count:1 size:569" took too long (605.307579ms) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.623619 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (402.642456ms) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.623694 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-75zjl.15ef35c944eca9e3\" " with result "range_response_count:1 size:520" took too long (457.005198ms) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.623827 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (486.975406ms) to execute
Feb 01 07:12:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:48.624109 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-f7zml.15ef35c5d8dad936\" " with result "range_response_count:1 size:569" took too long (870.698615ms) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.611511 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.215468964s) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.611595 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7k26h.15ef35c7bbf28e61\" " with result "range_response_count:1 size:517" took too long (1.036064267s) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.611875 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-citadel-service-account-token-jfsg6\" " with result "range_response_count:1 size:2447" took too long (1.271070091s) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.611933 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-f7zml.15ef35c5d9dbe2ed\" " with result "range_response_count:1 size:520" took too long (840.213436ms) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.612090 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-jnnhr.15ef35c98b0b418f\" " with result "range_response_count:1 size:520" took too long (1.269358843s) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.612195 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rghmp.15ef35c85b77e4bd\" " with result "range_response_count:1 size:520" took too long (1.012295596s) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.612397 W | etcdserver: request "header:<ID:14919139277751072432 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:53137570 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (773.789059ms) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.612541 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-bttzl\" " with result "range_response_count:1 size:2440" took too long (746.466685ms) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.612682 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-4fh8l.15ef35cf3538162a\" " with result "range_response_count:1 size:520" took too long (518.428053ms) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.612810 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (159.138772ms) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.612965 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-75zjl\" " with result "range_response_count:1 size:4174" took too long (447.183967ms) to execute
Feb 01 07:12:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:50.613029 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (342.326927ms) to execute
Feb 01 07:12:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:51.055280 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-8fqkk.15ef35c98f15d2d6\" " with result "range_response_count:1 size:571" took too long (341.037189ms) to execute
Feb 01 07:12:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:51.055685 W | etcdserver: request "header:<ID:14919139277751072462 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-vrx7d\" mod_revision:53137513 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-vrx7d\" value_size:4074 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-vrx7d\" > >>" with result "size:20" took too long (337.497878ms) to execute
Feb 01 07:12:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:51.055941 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-n5ss6.15ef35c791907407\" " with result "range_response_count:1 size:517" took too long (190.235566ms) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.782501 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.264457717s) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.782908 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7k26h.15ef35c7bbf28e61\" " with result "range_response_count:1 size:517" took too long (1.20479672s) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.783005 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-jnnhr.15ef35ca2216e4bb\" " with result "range_response_count:1 size:572" took too long (904.963705ms) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.783141 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rghmp.15ef35c85b77e4bd\" " with result "range_response_count:1 size:520" took too long (1.182579501s) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.783278 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-f7zml.15ef35c5d9dbe2ed\" " with result "range_response_count:1 size:520" took too long (1.011674812s) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.783378 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-4fh8l.15ef35cf3538162a\" " with result "range_response_count:1 size:520" took too long (689.683198ms) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.783594 W | etcdserver: request "header:<ID:14919139277751072490 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53137641 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (543.951854ms) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.783964 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (496.919888ms) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.796635 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (108.674227ms) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.796674 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (147.082757ms) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.796778 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ghrjw\" " with result "range_response_count:1 size:4149" took too long (290.251376ms) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.797357 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (223.474363ms) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.798559 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (142.802294ms) to execute
Feb 01 07:12:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:52.799368 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7trh7\" " with result "range_response_count:1 size:4169" took too long (508.919918ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.486098 W | wal: sync duration of 1.031323476s, expected less than 1s
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.489165 W | etcdserver: request "header:<ID:14919139277751072523 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-n5ss6.15ef35c791907407\" mod_revision:53137758 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-n5ss6.15ef35c791907407\" value_size:412 lease:5695767240896295563 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f-n5ss6.15ef35c791907407\" > >>" with result "size:20" took too long (1.606260156s) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.489426 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (1.604535851s) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.491110 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:82635" took too long (1.424096121s) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.491296 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rghmp.15ef35c94f0dd703\" " with result "range_response_count:1 size:571" took too long (712.427304ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.491424 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-hzxq5.15ef35c73d76692d\" " with result "range_response_count:1 size:569" took too long (756.046869ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.491531 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rghmp\" " with result "range_response_count:1 size:4174" took too long (890.269515ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.491623 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (148.9245ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.491749 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7k26h\" " with result "range_response_count:1 size:4169" took too long (913.301413ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.491863 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (1.115213152s) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.492032 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (214.334637ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.492697 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jnnhr\" " with result "range_response_count:1 size:4174" took too long (1.146707233s) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.492906 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotas\" range_end:\"/registry/config.istio.io/quotat\" count_only:true " with result "range_response_count:0 size:7" took too long (252.034404ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.493272 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.374499043s) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.493617 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (354.658708ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.493865 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4fh8l\" " with result "range_response_count:1 size:4172" took too long (395.271781ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.494231 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hzxq5\" " with result "range_response_count:1 size:4173" took too long (632.504162ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.917026 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-hzxq5.15ef35c74eddeb7c\" " with result "range_response_count:1 size:570" took too long (313.330789ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.917384 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rghmp.15ef35c964c49c1d\" " with result "range_response_count:1 size:572" took too long (325.947461ms) to execute
Feb 01 07:12:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:54.917588 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-q84bf\" " with result "range_response_count:1 size:4174" took too long (325.559299ms) to execute
Feb 01 07:12:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:56.333762 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-c7gks\" " with result "range_response_count:1 size:2314" took too long (153.673431ms) to execute
Feb 01 07:12:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:56.333815 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/fluentds\" range_end:\"/registry/config.istio.io/fluentdt\" count_only:true " with result "range_response_count:0 size:7" took too long (522.916782ms) to execute
Feb 01 07:12:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:56.333870 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f7zml\" " with result "range_response_count:1 size:4173" took too long (527.983453ms) to execute
Feb 01 07:12:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:56.334242 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (470.857564ms) to execute
Feb 01 07:12:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:56.334343 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-n5ss6.15ef35c91673b5dc\" " with result "range_response_count:1 size:567" took too long (939.43511ms) to execute
Feb 01 07:12:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:56.334595 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g86wj\" " with result "range_response_count:1 size:4148" took too long (800.16717ms) to execute
Feb 01 07:12:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:56.334693 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/meshpolicies\" range_end:\"/registry/authentication.istio.io/meshpoliciet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.220915089s) to execute
Feb 01 07:12:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:57.619437 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (686.285332ms) to execute
