-- Logs begin at Wed 2019-12-18 15:20:13 UTC, end at Fri 2019-12-20 01:54:35 UTC. --
Dec 20 01:32:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:32:33.519224 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (542.02593ms) to execute
Dec 20 01:38:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:38:02.988757 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (109.603897ms) to execute
Dec 20 01:38:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:38:45.177493 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-d49ml\" " with result "range_response_count:1 size:1121" took too long (148.072762ms) to execute
Dec 20 01:38:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:38:45.177567 W | etcdserver: request "header:<ID:14919139277708006181 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45168978 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (125.033999ms) to execute
Dec 20 01:38:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:38:45.193909 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jtm6k\" " with result "range_response_count:1 size:1121" took too long (144.825016ms) to execute
Dec 20 01:38:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:38:45.221304 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sxmhl\" " with result "range_response_count:1 size:1121" took too long (144.430095ms) to execute
Dec 20 01:39:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:39:45.233141 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1f0a27a5c342a\" " with result "range_response_count:1 size:485" took too long (125.285005ms) to execute
Dec 20 01:39:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:39:45.235310 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ltqxd\" " with result "range_response_count:1 size:1121" took too long (118.347688ms) to execute
Dec 20 01:39:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:39:45.447738 W | etcdserver: request "header:<ID:14919139277708006792 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-57tc6\" mod_revision:45169209 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-57tc6\" value_size:1422 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-57tc6\" > >>" with result "size:20" took too long (113.176467ms) to execute
Dec 20 01:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:40:45.378634 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1f0a27a5c342a\" " with result "range_response_count:1 size:485" took too long (159.754645ms) to execute
Dec 20 01:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:40:45.379192 W | etcdserver: request "header:<ID:14919139277708007411 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-zm57x\" mod_revision:45169416 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-zm57x\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-zm57x\" > >>" with result "size:20" took too long (122.399124ms) to execute
Dec 20 01:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:40:45.393620 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-s4p6z\" " with result "range_response_count:1 size:1121" took too long (139.134789ms) to execute
Dec 20 01:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:40:45.393679 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fzd2x\" " with result "range_response_count:1 size:1121" took too long (141.489333ms) to execute
Dec 20 01:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:40:45.393714 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f864l\" " with result "range_response_count:1 size:1118" took too long (141.38316ms) to execute
Dec 20 01:40:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:40:45.592965 W | etcdserver: request "header:<ID:14919139277708007434 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-qkhbg\" mod_revision:45169427 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-qkhbg\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-qkhbg\" > >>" with result "size:20" took too long (109.945208ms) to execute
Dec 20 01:41:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:41:04.757766 I | mvcc: store.index: compact 45168531
Dec 20 01:41:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:41:04.766594 I | mvcc: finished scheduled compaction at 45168531 (took 6.831053ms)
Dec 20 01:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:46:04.771825 I | mvcc: store.index: compact 45169544
Dec 20 01:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:46:04.780430 I | mvcc: finished scheduled compaction at 45169544 (took 7.212385ms)
Dec 20 01:47:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:47:09.240158 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (241.808515ms) to execute
Dec 20 01:49:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:49:55.352087 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (223.802873ms) to execute
Dec 20 01:51:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:51:04.784656 I | mvcc: store.index: compact 45170174
Dec 20 01:51:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:51:04.790107 I | mvcc: finished scheduled compaction at 45170174 (took 4.235271ms)
