-- Logs begin at Fri 2020-01-31 10:16:36 UTC, end at Sat 2020-02-01 22:20:19 UTC. --
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.108329 W | wal: sync duration of 2.560027638s, expected less than 1s
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.453633 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (3.079493041s) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.453846 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (3.079741286s) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.454075 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (999.176452ms) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.454116 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (3.087687989s) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.454284 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28480" took too long (2.87094989s) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.454333 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (3.088141926s) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.454511 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (3.08022762s) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.454568 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (3.089177316s) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.454789 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (3.080522242s) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.454876 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.apps\" " with result "range_response_count:1 size:605" took too long (3.089534762s) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.455107 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-operator\" " with result "range_response_count:1 size:414" took too long (3.091301601s) to execute
Feb 01 21:57:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:42.455350 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (3.076328627s) to execute
Feb 01 21:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:44.743639 W | wal: sync duration of 2.29336019s, expected less than 1s
Feb 01 21:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:44.747180 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (2.530887977s) to execute
Feb 01 21:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:44.747396 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (2.686863847s) to execute
Feb 01 21:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:44.747497 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (2.66368449s) to execute
Feb 01 21:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:44.747712 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (2.684472803s) to execute
Feb 01 21:57:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:46.287642 W | wal: sync duration of 1.543706117s, expected less than 1s
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.294403 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (5.822396605s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.294549 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z5ks5\" " with result "range_response_count:1 size:1743" took too long (5.823977368s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.294832 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:683" took too long (5.825555021s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.294875 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (5.823006849s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.294950 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (5.826287676s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.294996 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (5.824562s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.295075 W | etcdserver: read-only range request "key:\"/registry/statefulsets/kube-system/alertmanager-prometheus-operator-alertmanager\" " with result "range_response_count:1 size:2250" took too long (5.825089928s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.295195 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (5.822368913s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.295709 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (5.10596715s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.295746 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (3.828960786s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.295964 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (5.764661843s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.296144 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (3.829398806s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.296222 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:10 size:16506" took too long (3.648105566s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.296667 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (5.823075461s) to execute
Feb 01 21:57:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:48.301392 W | etcdserver: request "header:<ID:14919139277751652432 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:53282297 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (2.013370974s) to execute
Feb 01 21:57:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:49.568689 W | wal: sync duration of 3.280667161s, expected less than 1s
Feb 01 21:57:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:49.571832 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:0 size:7" took too long (4.818459512s) to execute
Feb 01 21:57:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:49.571875 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r9qrv\" " with result "range_response_count:1 size:1744" took too long (4.817529695s) to execute
Feb 01 21:57:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:49.572082 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (4.820242367s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.589364 W | wal: sync duration of 1.020295023s, expected less than 1s
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.608427 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (3.163580649s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.608504 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (3.604592546s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.608535 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (3.61167822s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.608839 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (2.368309477s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.608894 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (2.304732542s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.608957 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:10 size:16386" took too long (2.045488777s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.609244 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (2.297100125s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.609382 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.policy\" " with result "range_response_count:1 size:625" took too long (2.304106833s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.609405 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (2.30612866s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.609708 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (2.302538636s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.609774 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authorization.k8s.io\" " with result "range_response_count:1 size:653" took too long (2.305725601s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.609920 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (2.337948936s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.610719 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (3.806665316s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.613225 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zv7l7\" " with result "range_response_count:1 size:1743" took too long (1.031028683s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.613958 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (397.22574ms) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.614186 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (660.926832ms) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.614394 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (886.890174ms) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.614664 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.029866467s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.614932 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (1.032243052s) to execute
Feb 01 21:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:50.615162 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/backend\" " with result "range_response_count:1 size:1520" took too long (1.032731155s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.220211 W | wal: sync duration of 2.599314177s, expected less than 1s
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.693970 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r9qrv\" " with result "range_response_count:1 size:1624" took too long (3.070729425s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.694127 W | etcdserver: request "header:<ID:14919139277751652452 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-zv7l7\" mod_revision:53282259 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-zv7l7\" value_size:1547 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-zv7l7\" > >>" with result "size:20" took too long (473.210139ms) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.864066 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (3.240076595s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.864176 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (3.2384587s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.864241 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (3.240267856s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.864302 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pod-garbage-collector\" " with result "range_response_count:1 size:262" took too long (3.240199705s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.864500 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (3.240596846s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.864530 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (3.239500904s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.864690 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-kube-state-metrics\" " with result "range_response_count:1 size:498" took too long (3.240895185s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.864752 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (3.239447817s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.864846 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r9qrv\" " with result "range_response_count:1 size:1624" took too long (162.158488ms) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.864940 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.282323257s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.865346 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/backend\" " with result "range_response_count:1 size:1664" took too long (165.013888ms) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.865638 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/kube-proxy\" " with result "range_response_count:1 size:228" took too long (3.239006489s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.865719 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.390282874s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.865831 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (2.284003801s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.866132 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.397059025s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.866459 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/resourcequota-controller\" " with result "range_response_count:1 size:271" took too long (3.240520116s) to execute
Feb 01 21:57:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:53.866668 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (3.24040133s) to execute
Feb 01 21:57:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:54.262618 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3153" took too long (381.843216ms) to execute
Feb 01 21:57:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:55.721671 W | wal: sync duration of 1.469748726s, expected less than 1s
Feb 01 21:57:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:55.724560 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (1.529109428s) to execute
Feb 01 21:57:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:55.724662 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:1 size:1295" took too long (1.843509914s) to execute
Feb 01 21:57:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:56.970948 W | wal: sync duration of 1.249030461s, expected less than 1s
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.432843 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (3.159155511s) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.433021 W | etcdserver: request "header:<ID:14919139277751652476 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend.15ef661e3bda727b\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend.15ef661e3bda727b\" value_size:453 lease:5695767240896876660 >> failure:<>>" with result "size:20" took too long (461.568435ms) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.433152 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (3.159833097s) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.433467 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (3.158720817s) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.635720 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (194.817505ms) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.636244 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (560.771536ms) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.636610 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (994.698165ms) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.636956 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.365187082s) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.637315 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15ef661e24f00693\" " with result "range_response_count:1 size:505" took too long (191.99655ms) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.637367 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (1.744376444s) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.637527 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:10 size:16146" took too long (1.78742455s) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.637726 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.36611325s) to execute
Feb 01 21:57:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:57.638392 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (1.905953264s) to execute
Feb 01 21:57:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:58.555005 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15ef661e3bda727b\" " with result "range_response_count:1 size:541" took too long (903.42151ms) to execute
Feb 01 21:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:58:00.722847 W | wal: sync duration of 2.170748663s, expected less than 1s
Feb 01 21:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:58:00.727291 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (1.287945393s) to execute
Feb 01 21:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:58:00.727336 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.074891971s) to execute
Feb 01 21:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:58:00.727671 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (313.770788ms) to execute
Feb 01 21:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:58:00.727995 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (635.594993ms) to execute
Feb 01 21:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:58:00.728143 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (761.991141ms) to execute
Feb 01 21:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:58:00.729021 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (797.853553ms) to execute
Feb 01 21:58:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:58:00.729656 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (797.281148ms) to execute
