-- Logs begin at Thu 2019-10-31 12:25:57 UTC, end at Sun 2019-11-03 10:15:51 UTC. --
Nov 03 09:54:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:19.874458 W | wal: sync duration of 2.026348841s, expected less than 1s
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.806770 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-4sn4k\" " with result "range_response_count:1 size:3231" took too long (191.666805ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.806839 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (163.832273ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.037732 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-fgm2l\" " with result "range_response_count:1 size:3230" took too long (166.883415ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.037845 W | etcdserver: request "header:<ID:14919139277659079883 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:35838758 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (149.188372ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.056983 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:835" took too long (178.943351ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.057244 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (183.696924ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.057584 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (183.256722ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.311198 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-lmjmd\" " with result "range_response_count:1 size:2850" took too long (206.722404ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.311334 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-r84s6\" " with result "range_response_count:1 size:3231" took too long (207.544515ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.592248 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-96mld\" " with result "range_response_count:1 size:2732" took too long (196.875925ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.592326 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-96mld.15d39f24450a8fa8\" " with result "range_response_count:1 size:583" took too long (196.854211ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.627588 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-96mld\" " with result "range_response_count:1 size:2732" took too long (205.517906ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.628071 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (208.744756ms) to execute
Nov 03 10:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:54.838507 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (144.836615ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.065595 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-tznn6\" " with result "range_response_count:1 size:2850" took too long (134.445398ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.097305 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (140.486654ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.328067 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (164.406307ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.366236 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-rxfzm\" " with result "range_response_count:1 size:2746" took too long (195.367025ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.617046 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (216.247527ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.617122 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-policy\" " with result "range_response_count:1 size:926" took too long (212.801365ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.617409 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-citadel-57cff9f899-hzhk7.15d39f242a1d21d0\" " with result "range_response_count:1 size:565" took too long (213.041931ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.617647 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (213.732563ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.632008 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (201.28719ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.632132 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5942" took too long (201.821198ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.632226 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (208.300499ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.870832 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-96mld\" " with result "range_response_count:1 size:2732" took too long (189.28992ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.870921 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (193.389277ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.871059 W | etcdserver: request "header:<ID:14919139277659080010 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-96mld.15d39f24450a8fa8\" mod_revision:35838799 > success:<request_put:<key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-96mld.15d39f24450a8fa8\" value_size:461 lease:5695767240804303541 >> failure:<request_range:<key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-96mld.15d39f24450a8fa8\" > >>" with result "size:20" took too long (144.823266ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.871180 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-security-post-install-1.1.5-rzc8f\" " with result "range_response_count:1 size:2254" took too long (162.693662ms) to execute
Nov 03 10:07:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:55.871318 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5969" took too long (155.660392ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.108618 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-mkf7c\" " with result "range_response_count:1 size:2850" took too long (162.066862ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.108737 W | etcdserver: request "header:<ID:14919139277659080027 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-telemetry-57658695c8-s5k8c\" mod_revision:35838126 > success:<request_put:<key:\"/registry/pods/istio-system/istio-telemetry-57658695c8-s5k8c\" value_size:3573 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-telemetry-57658695c8-s5k8c\" > >>" with result "size:20" took too long (133.168188ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.124620 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (162.884652ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.382809 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-lmjmd\" " with result "range_response_count:1 size:2850" took too long (183.214689ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.383239 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-lmjmd.15d39f2484119ab9\" " with result "range_response_count:1 size:587" took too long (186.417613ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.383475 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-sidecar-injector\" " with result "range_response_count:1 size:4779" took too long (190.290192ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.401916 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-tracing-77885fdf8d-2svgk\" " with result "range_response_count:1 size:2128" took too long (187.980929ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.401959 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-telemetry\" " with result "range_response_count:1 size:959" took too long (185.380726ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.402283 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-lmjmd\" " with result "range_response_count:1 size:2850" took too long (187.3342ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.636863 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-lkz6q\" " with result "range_response_count:1 size:2850" took too long (194.168974ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.636995 W | etcdserver: request "header:<ID:14919139277659080067 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-lkz6q.15d39f2493072427\" mod_revision:35838785 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-lkz6q.15d39f2493072427\" value_size:464 lease:5695767240804303541 >> failure:<request_range:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-lkz6q.15d39f2493072427\" > >>" with result "size:20" took too long (149.141323ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.659353 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/kiali-59765b9f4b-tdbjf\" " with result "range_response_count:1 size:2183" took too long (184.299007ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.659470 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (183.279521ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.914415 W | etcdserver: request "header:<ID:14919139277659080085 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/kiali-59765b9f4b\" mod_revision:35838144 > success:<request_put:<key:\"/registry/replicasets/istio-system/kiali-59765b9f4b\" value_size:1564 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/kiali-59765b9f4b\" > >>" with result "size:20" took too long (176.939333ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.915805 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (189.543636ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.916107 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-k9wdt\" " with result "range_response_count:1 size:2175" took too long (189.648689ms) to execute
Nov 03 10:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:56.916928 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-6276z\" " with result "range_response_count:1 size:2746" took too long (187.554759ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.164802 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (181.108901ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.165006 W | etcdserver: request "header:<ID:14919139277659080104 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-p52qm.15d39f24c00a9c25\" mod_revision:35838818 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-p52qm.15d39f24c00a9c25\" value_size:464 lease:5695767240804303541 >> failure:<request_range:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-p52qm.15d39f24c00a9c25\" > >>" with result "size:20" took too long (146.311822ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.165107 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-p52qm\" " with result "range_response_count:1 size:2850" took too long (191.459293ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.406897 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-96mld\" " with result "range_response_count:1 size:2732" took too long (155.432662ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.406994 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (154.283818ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.637111 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (128.290993ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.637445 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-p52qm.15d39f24c00a9c25\" " with result "range_response_count:1 size:587" took too long (133.348278ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.637677 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-p52qm\" " with result "range_response_count:1 size:2850" took too long (128.302295ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.867438 W | etcdserver: request "header:<ID:14919139277659080168 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-pilot-759bbfd844-6276z.15d39f2522b89f45\" mod_revision:35838908 > success:<request_put:<key:\"/registry/events/istio-system/istio-pilot-759bbfd844-6276z.15d39f2522b89f45\" value_size:445 lease:5695767240804303541 >> failure:<request_range:<key:\"/registry/events/istio-system/istio-pilot-759bbfd844-6276z.15d39f2522b89f45\" > >>" with result "size:20" took too long (121.144319ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.867749 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (131.47849ms) to execute
Nov 03 10:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:57.868088 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-6276z\" " with result "range_response_count:1 size:2746" took too long (134.634895ms) to execute
Nov 03 10:07:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:58.097527 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-96mld.15d39f24450a8fa8\" " with result "range_response_count:1 size:583" took too long (126.805852ms) to execute
Nov 03 10:07:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:58.097582 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-96mld\" " with result "range_response_count:1 size:2732" took too long (125.525336ms) to execute
Nov 03 10:07:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:58.097777 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-96mld\" " with result "range_response_count:1 size:2732" took too long (125.905766ms) to execute
Nov 03 10:07:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:58.097915 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (159.018008ms) to execute
Nov 03 10:07:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:58.320235 W | etcdserver: request "header:<ID:14919139277659080219 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-policy-dddd467c4-pz8nr\" mod_revision:35838938 > success:<request_put:<key:\"/registry/pods/istio-system/istio-policy-dddd467c4-pz8nr\" value_size:2761 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-policy-dddd467c4-pz8nr\" > >>" with result "size:20" took too long (121.54982ms) to execute
Nov 03 10:07:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:58.532003 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/kiali-59765b9f4b-sx42f\" " with result "range_response_count:1 size:1828" took too long (110.061234ms) to execute
Nov 03 10:12:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:12:00.612149 I | mvcc: store.index: compact 35838579
Nov 03 10:12:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:12:00.619656 I | mvcc: finished scheduled compaction at 35838579 (took 5.794321ms)
Nov 03 10:12:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:12:01.061756 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/instances\" range_end:\"/registry/config.istio.io/instancet\" count_only:true " with result "range_response_count:0 size:7" took too long (262.347874ms) to execute
Nov 03 10:12:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:12:01.062010 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (293.34825ms) to execute
