-- Logs begin at Thu 2020-01-30 08:00:47 UTC, end at Sat 2020-02-01 07:10:35 UTC. --
Feb 01 06:47:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:57.712017 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000037cc068.snap successfully
Feb 01 07:06:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:58.755929 W | etcdserver: request "header:<ID:14919139277751067943 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:53136512 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (595.086889ms) to execute
Feb 01 07:06:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:58.756133 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (522.534967ms) to execute
Feb 01 07:06:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:58.756209 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:10" took too long (552.45068ms) to execute
Feb 01 07:06:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:58.756318 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (511.574651ms) to execute
Feb 01 07:07:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:08.398585 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1910" took too long (356.13977ms) to execute
Feb 01 07:07:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:09.329638 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (226.165916ms) to execute
Feb 01 07:07:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:09.329819 W | etcdserver: request "header:<ID:14919139277751068107 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53136529 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (203.327216ms) to execute
Feb 01 07:07:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:17.970909 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (304.001729ms) to execute
Feb 01 07:07:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:17.971046 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (255.006205ms) to execute
Feb 01 07:07:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:17.971143 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (220.787419ms) to execute
Feb 01 07:07:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:19.700605 W | etcdserver: request "header:<ID:14919139277751068191 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53136552 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (285.711084ms) to execute
Feb 01 07:07:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:19.700745 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (267.947134ms) to execute
Feb 01 07:07:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:26.715757 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (778.18533ms) to execute
Feb 01 07:07:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:26.715845 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (535.51767ms) to execute
Feb 01 07:07:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:26.716507 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (709.461691ms) to execute
Feb 01 07:07:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:26.716715 W | etcdserver: request "header:<ID:14919139277751068234 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53136564 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (198.014153ms) to execute
Feb 01 07:07:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:29.898422 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1466" took too long (274.935471ms) to execute
Feb 01 07:07:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:29.898484 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (333.685059ms) to execute
Feb 01 07:07:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:29.898640 W | etcdserver: request "header:<ID:14919139277751068303 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53136570 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (172.718376ms) to execute
Feb 01 07:07:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:32.985123 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/policies\" range_end:\"/registry/authentication.istio.io/policiet\" count_only:true " with result "range_response_count:0 size:9" took too long (183.355017ms) to execute
Feb 01 07:07:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:35.570511 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (123.639751ms) to execute
Feb 01 07:07:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:35.570579 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (309.720568ms) to execute
Feb 01 07:07:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:35.570922 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (359.057065ms) to execute
Feb 01 07:07:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:38.421150 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (415.658216ms) to execute
Feb 01 07:07:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:38.421199 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (313.973883ms) to execute
Feb 01 07:07:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:38.421254 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (213.690401ms) to execute
Feb 01 07:07:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:38.421308 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (732.072954ms) to execute
Feb 01 07:07:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:38.421431 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/noops\" range_end:\"/registry/config.istio.io/noopt\" count_only:true " with result "range_response_count:0 size:7" took too long (615.707653ms) to execute
Feb 01 07:07:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:39.258758 W | etcdserver: request "header:<ID:14919139277751068384 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:53136584 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (420.523016ms) to execute
Feb 01 07:07:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:39.259529 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (415.724882ms) to execute
Feb 01 07:07:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:39.953919 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (362.622586ms) to execute
Feb 01 07:07:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:39.954433 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/tracespans\" range_end:\"/registry/config.istio.io/tracespant\" count_only:true " with result "range_response_count:0 size:7" took too long (279.540035ms) to execute
Feb 01 07:07:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:39.954819 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (155.589087ms) to execute
Feb 01 07:07:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:40.705409 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/dogstatsds\" range_end:\"/registry/config.istio.io/dogstatsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (562.565692ms) to execute
Feb 01 07:07:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:40.705489 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (422.037828ms) to execute
Feb 01 07:07:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:40.705852 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (636.912007ms) to execute
Feb 01 07:07:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:54.589639 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (314.843798ms) to execute
Feb 01 07:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:07:56.244597 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (210.931687ms) to execute
