-- Logs begin at Fri 2019-11-08 11:29:00 UTC, end at Sun 2019-11-10 21:34:58 UTC. --
Nov 10 21:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:12:46.540685 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000277f1b9.snap successfully
Nov 10 21:17:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:50.383055 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (304.095483ms) to execute
Nov 10 21:17:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:50.384855 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (186.550587ms) to execute
Nov 10 21:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:00.844057 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (415.475988ms) to execute
Nov 10 21:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:00.849111 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.networking.k8s.io\" " with result "range_response_count:1 size:644" took too long (262.702541ms) to execute
Nov 10 21:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:00.849208 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-egressgateway-certs\" " with result "range_response_count:0 size:7" took too long (103.649413ms) to execute
Nov 10 21:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:00.849308 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:683" took too long (262.574481ms) to execute
Nov 10 21:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:00.849323 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.policy\" " with result "range_response_count:1 size:625" took too long (262.725691ms) to execute
Nov 10 21:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:00.849548 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (263.096217ms) to execute
Nov 10 21:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:00.849823 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (263.403432ms) to execute
Nov 10 21:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:00.849948 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (104.418747ms) to execute
Nov 10 21:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:06.826353 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-node-exporter-token-dr68x\" " with result "range_response_count:1 size:2546" took too long (730.879734ms) to execute
Nov 10 21:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:06.826441 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-brzsm.15d5e9bf0b1b5dbd\" " with result "range_response_count:1 size:592" took too long (106.066113ms) to execute
Nov 10 21:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:07.464125 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (410.997989ms) to execute
Nov 10 21:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:07.464275 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (353.077095ms) to execute
Nov 10 21:18:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:19.658702 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (137.408308ms) to execute
Nov 10 21:18:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:26.997538 W | etcdserver: request "header:<ID:14919139277666001253 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-brzsm.15d5e9bf0b1b5dbd\" mod_revision:37597536 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-brzsm.15d5e9bf0b1b5dbd\" value_size:487 lease:5695767240811225443 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f-brzsm.15d5e9bf0b1b5dbd\" > >>" with result "size:20" took too long (130.476269ms) to execute
Nov 10 21:18:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:39.817425 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5676" took too long (195.518566ms) to execute
Nov 10 21:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:47.178079 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (152.070505ms) to execute
Nov 10 21:18:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:51.170593 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (135.315412ms) to execute
Nov 10 21:18:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:51.170761 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (124.444484ms) to execute
Nov 10 21:18:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:51.735452 W | etcdserver: request "header:<ID:14919139277666001521 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > lease_grant:<ttl:15-second id:4f0b6e20c7dc2270>" with result "size:41" took too long (225.715319ms) to execute
Nov 10 21:18:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:51.736544 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (364.532129ms) to execute
Nov 10 21:18:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:51.737894 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (218.788386ms) to execute
Nov 10 21:18:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:55.453447 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (222.685758ms) to execute
Nov 10 21:18:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:55.453510 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (287.586429ms) to execute
Nov 10 21:18:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:18:58.016999 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecs\" range_end:\"/registry/config.istio.io/quotaspect\" count_only:true " with result "range_response_count:0 size:7" took too long (109.870306ms) to execute
Nov 10 21:19:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:00.178910 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (152.856215ms) to execute
Nov 10 21:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:01.185446 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (145.970072ms) to execute
Nov 10 21:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:01.185582 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1910" took too long (145.959952ms) to execute
Nov 10 21:19:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:03.530578 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (120.775235ms) to execute
Nov 10 21:19:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:03.530722 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (292.580965ms) to execute
Nov 10 21:19:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:03.530811 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/signalfxs\" range_end:\"/registry/config.istio.io/signalfxt\" count_only:true " with result "range_response_count:0 size:7" took too long (122.290067ms) to execute
Nov 10 21:19:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:03.531211 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (293.436651ms) to execute
Nov 10 21:19:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:03.531338 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (118.461016ms) to execute
Nov 10 21:19:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:06.180799 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (352.257882ms) to execute
Nov 10 21:19:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:07.336438 W | wal: sync duration of 1.121516668s, expected less than 1s
Nov 10 21:19:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:07.932746 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (1.717707733s) to execute
Nov 10 21:19:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:07.932918 W | etcdserver: request "header:<ID:14919139277666001725 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:37597679 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (595.967912ms) to execute
Nov 10 21:19:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:07.933027 W | etcdserver: failed to revoke 4f0b6e20c7dc2270 ("lease not found")
Nov 10 21:19:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:07.933340 W | etcdserver: failed to revoke 4f0b6e20c7dc2270 ("lease not found")
Nov 10 21:19:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:07.933555 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (605.069921ms) to execute
Nov 10 21:19:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:07.933711 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/templates\" range_end:\"/registry/config.istio.io/templatet\" count_only:true " with result "range_response_count:0 size:7" took too long (767.518058ms) to execute
Nov 10 21:19:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:07.933959 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (870.582365ms) to execute
Nov 10 21:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:08.148123 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (209.789218ms) to execute
Nov 10 21:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:08.148183 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-f8fb9\" " with result "range_response_count:1 size:2314" took too long (287.219748ms) to execute
Nov 10 21:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:08.148445 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-f8fb9\" " with result "range_response_count:1 size:2314" took too long (666.38369ms) to execute
Nov 10 21:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:08.148617 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (780.739577ms) to execute
Nov 10 21:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:08.149109 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (537.135861ms) to execute
Nov 10 21:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:08.150180 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (525.868158ms) to execute
Nov 10 21:19:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:10.064770 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5676" took too long (444.501221ms) to execute
Nov 10 21:19:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:10.131105 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/tracespans\" range_end:\"/registry/config.istio.io/tracespant\" count_only:true " with result "range_response_count:0 size:7" took too long (423.89878ms) to execute
Nov 10 21:19:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:10.131515 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (192.397472ms) to execute
Nov 10 21:19:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:12.971694 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (168.74569ms) to execute
Nov 10 21:19:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:14.387058 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (112.308322ms) to execute
Nov 10 21:19:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:15.720575 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/solarwindses\" range_end:\"/registry/config.istio.io/solarwindset\" count_only:true " with result "range_response_count:0 size:7" took too long (534.666636ms) to execute
Nov 10 21:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:16.381750 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (121.230206ms) to execute
Nov 10 21:19:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:20.642867 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (181.087805ms) to execute
Nov 10 21:19:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:24.116895 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (113.216229ms) to execute
Nov 10 21:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:26.560633 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (105.733046ms) to execute
Nov 10 21:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:30.550646 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-f8fb9\" " with result "range_response_count:1 size:2314" took too long (859.997869ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.054389 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (595.088219ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.054537 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/serviceentries\" range_end:\"/registry/networking.istio.io/serviceentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (354.001564ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.054717 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (499.731656ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.054774 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (463.432686ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.054943 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.authentication.istio.io\" " with result "range_response_count:1 size:683" took too long (463.234234ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.055020 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (991.701206ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.055132 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (744.692095ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.055457 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (463.393573ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.055541 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (464.178679ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.055636 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (464.251857ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.184028 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (121.975384ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.184083 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha2.config.istio.io\" " with result "range_response_count:1 size:659" took too long (122.206315ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.184459 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:668" took too long (122.240173ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.184520 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (122.239488ms) to execute
Nov 10 21:19:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:31.184947 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (123.056669ms) to execute
Nov 10 21:19:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:32.020256 W | etcdserver: request "header:<ID:14919139277666001994 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:37597714 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:64 lease:5695767240811226184 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (115.103106ms) to execute
Nov 10 21:19:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:32.020366 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (117.24041ms) to execute
Nov 10 21:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:33.392642 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (267.114937ms) to execute
Nov 10 21:19:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:57.187424 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (413.478686ms) to execute
Nov 10 21:19:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:19:57.191614 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4273" took too long (219.994385ms) to execute
Nov 10 21:20:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:04.517692 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-f8fb9\" " with result "range_response_count:1 size:2314" took too long (198.021386ms) to execute
Nov 10 21:20:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:04.517780 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (335.491974ms) to execute
Nov 10 21:20:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:04.517933 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (242.735911ms) to execute
Nov 10 21:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:06.251257 W | etcdserver: request "header:<ID:14919139277666002364 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:37597800 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5604 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (925.676743ms) to execute
Nov 10 21:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:06.251405 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (713.304771ms) to execute
Nov 10 21:20:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:16.613841 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listcheckers\" range_end:\"/registry/config.istio.io/listcheckert\" count_only:true " with result "range_response_count:0 size:7" took too long (191.87229ms) to execute
Nov 10 21:20:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:19.739761 I | mvcc: store.index: compact 37597094
Nov 10 21:20:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:19.752501 I | mvcc: finished scheduled compaction at 37597094 (took 10.720107ms)
Nov 10 21:20:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:21.238621 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (913.780602ms) to execute
Nov 10 21:20:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:21.238807 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (1.029298504s) to execute
Nov 10 21:20:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:21.239833 W | etcdserver: request "header:<ID:14919139277666002515 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:37597832 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4198 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (537.814796ms) to execute
Nov 10 21:20:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:21.262541 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dmwcf\" " with result "range_response_count:1 size:4261" took too long (212.634184ms) to execute
Nov 10 21:20:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:21.466911 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (109.875735ms) to execute
Nov 10 21:20:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:20:21.467050 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (112.463668ms) to execute
Nov 10 21:21:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:21:21.948875 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (120.893238ms) to execute
Nov 10 21:21:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:21:21.949024 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (214.703718ms) to execute
Nov 10 21:22:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:22:16.945572 W | etcdserver: request "header:<ID:14919139277666003829 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-wz77j\" mod_revision:37598149 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-wz77j\" value_size:3503 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-wz77j\" > >>" with result "size:20" took too long (122.895895ms) to execute
Nov 10 21:22:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:22:42.231647 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (192.020187ms) to execute
