-- Logs begin at Wed 2019-10-30 17:55:18 UTC, end at Sat 2019-11-02 12:50:55 UTC. --
Nov 02 12:30:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:30:06.068751 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000504-0000000002589f54.wal is created
Nov 02 12:38:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:38:18.978026 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:256" took too long (130.253128ms) to execute
Nov 02 12:38:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:38:18.978113 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-225ff.15d3583657128fec\" " with result "range_response_count:1 size:465" took too long (150.089393ms) to execute
Nov 02 12:38:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:38:19.886568 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (343.379991ms) to execute
Nov 02 12:38:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:38:19.886709 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (315.93836ms) to execute
Nov 02 12:38:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:38:19.887123 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-225ff.15d358366bd1b663\" " with result "range_response_count:1 size:465" took too long (553.35116ms) to execute
Nov 02 12:38:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:38:19.887207 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (486.571007ms) to execute
Nov 02 12:38:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:38:19.887322 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-225ff\" " with result "range_response_count:1 size:1990" took too long (222.570303ms) to execute
Nov 02 12:38:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:38:38.897954 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (192.219191ms) to execute
Nov 02 12:38:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:38:42.412154 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (263.143009ms) to execute
Nov 02 12:38:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:38:49.105321 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (365.964655ms) to execute
Nov 02 12:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:19.138695 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (405.524795ms) to execute
Nov 02 12:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:19.138782 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (123.325129ms) to execute
Nov 02 12:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:19.138907 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (122.601995ms) to execute
Nov 02 12:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:19.139016 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (123.586799ms) to execute
Nov 02 12:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:19.139175 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "range_response_count:1 size:667" took too long (123.475091ms) to execute
Nov 02 12:39:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:19.140170 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (122.083417ms) to execute
Nov 02 12:39:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:33.321699 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (121.259079ms) to execute
Nov 02 12:39:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:40.429575 W | wal: sync duration of 1.111697992s, expected less than 1s
Nov 02 12:39:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:40.429932 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.081401631s) to execute
Nov 02 12:39:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:40.429960 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (194.873809ms) to execute
Nov 02 12:39:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:42.056439 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (161.05072ms) to execute
Nov 02 12:39:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:39:59.779195 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (292.607108ms) to execute
Nov 02 12:40:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:02.584641 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (423.669877ms) to execute
Nov 02 12:40:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:18.664266 W | etcdserver: read-only range request "key:\"/registry/masterleases/\" range_end:\"/registry/masterleases0\" " with result "range_response_count:1 size:133" took too long (591.420595ms) to execute
Nov 02 12:40:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:18.664451 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (361.315734ms) to execute
Nov 02 12:40:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:22.825119 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (143.310608ms) to execute
Nov 02 12:40:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:25.092063 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (209.317046ms) to execute
Nov 02 12:40:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:25.092170 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (141.102094ms) to execute
Nov 02 12:40:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:28.300728 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (117.234904ms) to execute
Nov 02 12:40:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:33.316182 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (190.937673ms) to execute
Nov 02 12:40:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:33.316367 W | etcdserver: request "header:<ID:14919139277658268881 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:35655508 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (135.801501ms) to execute
Nov 02 12:40:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:37.507248 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (165.864413ms) to execute
Nov 02 12:40:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:37.507316 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (207.473896ms) to execute
Nov 02 12:40:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:37.507574 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kpsh6\" " with result "range_response_count:1 size:1735" took too long (369.36818ms) to execute
Nov 02 12:40:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:43.508876 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (127.167816ms) to execute
Nov 02 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:49.390955 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.networking.k8s.io\" " with result "range_response_count:1 size:644" took too long (372.390774ms) to execute
Nov 02 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:49.390995 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.policy\" " with result "range_response_count:1 size:625" took too long (372.064996ms) to execute
Nov 02 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:49.391091 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (372.639875ms) to execute
Nov 02 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:49.391180 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:683" took too long (372.384824ms) to execute
Nov 02 12:40:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:49.391251 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (372.645905ms) to execute
Nov 02 12:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:51.213336 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (145.885871ms) to execute
Nov 02 12:40:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:40:58.980862 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (179.400384ms) to execute
Nov 02 12:41:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:41:03.735698 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (222.889417ms) to execute
Nov 02 12:41:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:41:19.627247 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (365.349529ms) to execute
Nov 02 12:41:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:41:39.659885 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (457.154888ms) to execute
Nov 02 12:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:41:45.730715 I | mvcc: store.index: compact 35655068
Nov 02 12:41:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:41:45.738213 I | mvcc: finished scheduled compaction at 35655068 (took 6.15068ms)
Nov 02 12:42:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:20.039896 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (133.72706ms) to execute
Nov 02 12:42:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:20.040015 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (174.549797ms) to execute
Nov 02 12:42:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:20.776679 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:32849" took too long (511.421624ms) to execute
Nov 02 12:42:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:22.465344 W | etcdserver: request "header:<ID:14919139277658269779 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:35655724 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (275.369492ms) to execute
Nov 02 12:42:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:23.513446 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (133.789089ms) to execute
Nov 02 12:42:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:32.577925 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (282.893651ms) to execute
Nov 02 12:42:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:34.507110 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (314.284526ms) to execute
Nov 02 12:42:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:37.654309 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (213.718935ms) to execute
Nov 02 12:42:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:40.288303 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (219.993127ms) to execute
Nov 02 12:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:42.801913 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (259.630289ms) to execute
Nov 02 12:42:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:42.801982 W | etcdserver: request "header:<ID:14919139277658269906 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:35655758 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (209.304286ms) to execute
Nov 02 12:42:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:52.091040 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (260.605035ms) to execute
Nov 02 12:42:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:52.091109 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (286.362343ms) to execute
Nov 02 12:42:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:52.091227 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-x6zdw\" " with result "range_response_count:1 size:1851" took too long (211.662593ms) to execute
Nov 02 12:42:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:42:52.091358 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1419" took too long (211.452317ms) to execute
Nov 02 12:43:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:43:05.203590 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (138.741026ms) to execute
Nov 02 12:43:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:43:23.167665 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (179.77191ms) to execute
Nov 02 12:43:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:43:23.167778 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1419" took too long (145.825225ms) to execute
Nov 02 12:43:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:43:29.915274 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (321.605374ms) to execute
Nov 02 12:43:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:43:51.834321 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (365.923619ms) to execute
Nov 02 12:43:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:43:51.834393 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (284.842259ms) to execute
Nov 02 12:43:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:43:55.282723 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:32849" took too long (596.573553ms) to execute
Nov 02 12:43:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:43:58.233103 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (194.626773ms) to execute
Nov 02 12:43:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:43:58.233552 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (744.319839ms) to execute
Nov 02 12:43:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:43:58.233712 W | etcdserver: request "header:<ID:14919139277658270490 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:35655896 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (123.28685ms) to execute
Nov 02 12:44:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:11.828415 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (389.410494ms) to execute
Nov 02 12:44:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:19.360329 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (148.083761ms) to execute
Nov 02 12:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:22.093126 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (210.852264ms) to execute
Nov 02 12:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:22.093368 W | etcdserver: request "header:<ID:14919139277658270680 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:35655937 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (174.20181ms) to execute
Nov 02 12:44:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:22.093475 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (147.009926ms) to execute
Nov 02 12:44:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:32.736998 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (349.603532ms) to execute
Nov 02 12:44:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:32.737229 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (491.774535ms) to execute
Nov 02 12:44:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:35.340645 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-kpsh6.15d358516c39c24e\" " with result "range_response_count:1 size:588" took too long (288.583064ms) to execute
Nov 02 12:44:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:41.529265 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (522.113203ms) to execute
Nov 02 12:44:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:49.375048 W | etcdserver: request "header:<ID:14919139277658270883 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35655996 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (474.092017ms) to execute
Nov 02 12:44:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:49.375368 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (352.008019ms) to execute
Nov 02 12:44:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:49.375585 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (352.509139ms) to execute
Nov 02 12:44:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:49.375761 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:668" took too long (352.198334ms) to execute
Nov 02 12:44:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:49.375971 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (264.607397ms) to execute
Nov 02 12:44:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:49.376245 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (352.673256ms) to execute
Nov 02 12:44:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:49.376617 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (353.108628ms) to execute
Nov 02 12:44:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:52.328564 W | etcdserver: request "header:<ID:14919139277658270927 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:35656002 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (177.082359ms) to execute
Nov 02 12:44:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:52.328760 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (126.861776ms) to execute
Nov 02 12:44:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:52.328907 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (122.561107ms) to execute
Nov 02 12:44:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:52.329008 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (119.451738ms) to execute
Nov 02 12:44:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:52.329600 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (137.174935ms) to execute
Nov 02 12:44:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:59.678951 W | etcdserver: request "header:<ID:14919139277658270976 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35656014 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (280.878118ms) to execute
Nov 02 12:44:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 12:44:59.679256 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (277.490462ms) to execute
