-- Logs begin at Sun 2019-12-15 09:07:23 UTC, end at Mon 2019-12-16 23:39:12 UTC. --
Dec 16 23:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:36.106601 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (332.382997ms) to execute
Dec 16 23:18:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:41.351530 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.148111484s) to execute
Dec 16 23:18:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:41.405229 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (713.338309ms) to execute
Dec 16 23:18:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:41.405550 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (854.788653ms) to execute
Dec 16 23:18:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:41.405765 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (508.268692ms) to execute
Dec 16 23:18:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:41.405859 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (856.548534ms) to execute
Dec 16 23:18:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:41.406068 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ltnck.15e0fd3890b4b5e4\" " with result "range_response_count:1 size:591" took too long (1.097308155s) to execute
Dec 16 23:18:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:42.330731 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ltnck.15e0fd38e008d8f1\" " with result "range_response_count:1 size:592" took too long (694.98719ms) to execute
Dec 16 23:18:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:42.330819 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-npq2r.15e0fd375bea193c\" " with result "range_response_count:1 size:592" took too long (597.140653ms) to execute
Dec 16 23:18:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:42.330960 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-npq2r\" " with result "range_response_count:1 size:1624" took too long (597.008928ms) to execute
Dec 16 23:18:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:42.331193 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ltnck\" " with result "range_response_count:1 size:1624" took too long (695.903638ms) to execute
Dec 16 23:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:44.628394 W | wal: sync duration of 2.288813416s, expected less than 1s
Dec 16 23:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:44.631031 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (399.135503ms) to execute
Dec 16 23:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:44.631078 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (2.285300731s) to execute
Dec 16 23:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:44.631209 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (1.03734815s) to execute
Dec 16 23:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:44.631300 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.210180808s) to execute
Dec 16 23:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:44.631415 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (401.362062ms) to execute
Dec 16 23:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:44.631619 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (356.988084ms) to execute
Dec 16 23:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:44.632193 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (2.286820377s) to execute
Dec 16 23:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:44.632294 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.982349375s) to execute
Dec 16 23:18:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:44.632672 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.212559617s) to execute
Dec 16 23:18:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:46.787080 W | wal: sync duration of 1.502593925s, expected less than 1s
Dec 16 23:18:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:46.790455 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (147.794761ms) to execute
Dec 16 23:18:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:46.790523 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (762.581368ms) to execute
Dec 16 23:18:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:46.790708 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (146.393416ms) to execute
Dec 16 23:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:47.485267 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (140.885398ms) to execute
Dec 16 23:18:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:51.845849 W | wal: sync duration of 2.443185388s, expected less than 1s
Dec 16 23:18:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:51.846217 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (1.818920271s) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.092628 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (750.391489ms) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.092688 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (2.063590891s) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.092861 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.apps\" " with result "range_response_count:1 size:605" took too long (2.064320572s) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.093051 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.686492566s) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.093441 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (2.066108496s) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.093494 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.863473997s) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.093600 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (2.065988666s) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.093754 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.282321139s) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.094069 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (752.527571ms) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.094538 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (1.966625344s) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.094806 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (668.695688ms) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.094977 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (237.666039ms) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.095253 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-npq2r\" " with result "range_response_count:1 size:1744" took too long (1.293246558s) to execute
Dec 16 23:18:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:52.095389 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ltnck\" " with result "range_response_count:1 size:1744" took too long (1.36900604s) to execute
Dec 16 23:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:53.076216 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (972.736847ms) to execute
Dec 16 23:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:53.520547 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/heapster\" " with result "range_response_count:0 size:7" took too long (1.414499707s) to execute
Dec 16 23:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:53.520578 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "range_response_count:1 size:581" took too long (1.416827826s) to execute
Dec 16 23:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:53.520601 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (463.830505ms) to execute
Dec 16 23:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:53.520628 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3043" took too long (1.414901704s) to execute
Dec 16 23:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:53.520821 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (1.416759603s) to execute
Dec 16 23:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:53.520848 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (1.41708025s) to execute
Dec 16 23:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:53.520943 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (1.416796883s) to execute
Dec 16 23:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:53.553361 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/backend\" " with result "range_response_count:1 size:522" took too long (467.329697ms) to execute
Dec 16 23:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:53.553616 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (466.443386ms) to execute
Dec 16 23:18:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:56.729749 W | wal: sync duration of 1.640296845s, expected less than 1s
Dec 16 23:18:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:58.449319 W | etcdserver: request "header:<ID:14919139277705048137 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:44419602 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (1.719115054s) to execute
Dec 16 23:18:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:58.875124 W | wal: sync duration of 2.14505482s, expected less than 1s
Dec 16 23:18:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:59.014105 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.919961757s) to execute
Dec 16 23:18:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:59.014235 W | etcdserver: request "header:<ID:14919139277705048139 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:44419592 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (138.531356ms) to execute
Dec 16 23:18:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:59.098389 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (1.85852195s) to execute
Dec 16 23:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:01.220525 W | wal: sync duration of 1.021866905s, expected less than 1s
Dec 16 23:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:01.223683 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (119.893738ms) to execute
Dec 16 23:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:01.223759 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (766.689109ms) to execute
Dec 16 23:19:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:01.223826 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15e0fd40ff2eee27\" " with result "range_response_count:1 size:498" took too long (1.022393585s) to execute
Dec 16 23:19:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:02.472508 W | etcdserver: request "header:<ID:14919139277705048162 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:44419597 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (193.812201ms) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.525680 W | wal: sync duration of 2.284929016s, expected less than 1s
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.529203 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.919159041s) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.529538 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.001109964s) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.529846 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.252639392s) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.530174 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (2.136669942s) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.530466 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (288.855105ms) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.530884 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (562.495317ms) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.530958 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (1.437920077s) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.531253 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (768.050361ms) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.531279 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (284.319127ms) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.531400 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.978619391s) to execute
Dec 16 23:19:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:05.531565 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (769.059529ms) to execute
Dec 16 23:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:08.381722 W | wal: sync duration of 1.164683714s, expected less than 1s
Dec 16 23:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:08.384833 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-npq2r.15e0fd2015c16ad4\" " with result "range_response_count:1 size:468" took too long (1.083989238s) to execute
Dec 16 23:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:08.384889 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (838.630166ms) to execute
Dec 16 23:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:08.385008 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (766.867026ms) to execute
Dec 16 23:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:08.385252 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (839.941239ms) to execute
Dec 16 23:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:08.385990 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-npq2r\" " with result "range_response_count:1 size:1624" took too long (167.229756ms) to execute
Dec 16 23:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:08.753915 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (352.040239ms) to execute
Dec 16 23:19:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:09.121606 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (718.577993ms) to execute
Dec 16 23:19:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:09.122385 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1436" took too long (405.826916ms) to execute
Dec 16 23:19:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:09.190754 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (430.333061ms) to execute
Dec 16 23:19:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:09.191066 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (434.418788ms) to execute
Dec 16 23:19:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:09.191199 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (126.36252ms) to execute
Dec 16 23:19:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:11.680590 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ltnck.15e0fd25293b1345\" " with result "range_response_count:1 size:561" took too long (850.76167ms) to execute
Dec 16 23:19:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:11.680993 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (538.390266ms) to execute
Dec 16 23:19:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:11.681193 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (214.303681ms) to execute
Dec 16 23:19:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:11.681408 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ltnck\" " with result "range_response_count:1 size:1624" took too long (341.80334ms) to execute
Dec 16 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:13.031042 W | wal: sync duration of 1.341336655s, expected less than 1s
Dec 16 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:13.052136 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ltnck.15e0fd252f33f4a5\" " with result "range_response_count:1 size:468" took too long (1.36049245s) to execute
Dec 16 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:13.227175 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (814.852392ms) to execute
Dec 16 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:13.227256 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (920.834204ms) to execute
Dec 16 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:13.227300 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (765.71561ms) to execute
Dec 16 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:13.227417 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.279224087s) to execute
Dec 16 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:13.230568 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (177.320704ms) to execute
Dec 16 23:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:16.128686 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (572.680818ms) to execute
Dec 16 23:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:16.128747 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (576.39882ms) to execute
Dec 16 23:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:16.128874 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (388.852219ms) to execute
Dec 16 23:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:16.128957 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (574.817737ms) to execute
Dec 16 23:19:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:20.033046 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (137.878075ms) to execute
Dec 16 23:19:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:20.042980 I | mvcc: store.index: compact 44418387
Dec 16 23:19:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:20.058469 I | mvcc: finished scheduled compaction at 44418387 (took 13.717163ms)
Dec 16 23:19:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:19:21.146029 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (408.371289ms) to execute
