-- Logs begin at Wed 2019-10-30 17:55:18 UTC, end at Sat 2019-11-02 10:17:26 UTC. --
Nov 02 09:55:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:05.057573 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000257707d.snap successfully
Nov 02 10:05:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:44.094102 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (310.233145ms) to execute
Nov 02 10:05:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:46.888118 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (539.687586ms) to execute
Nov 02 10:05:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:46.892904 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/instances\" range_end:\"/registry/config.istio.io/instancet\" count_only:true " with result "range_response_count:0 size:7" took too long (144.151589ms) to execute
Nov 02 10:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:51.875499 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1480" took too long (823.779084ms) to execute
Nov 02 10:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:51.875766 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (780.31966ms) to execute
Nov 02 10:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:51.876065 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (543.844061ms) to execute
Nov 02 10:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:51.876224 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (624.309092ms) to execute
Nov 02 10:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:51.876414 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (720.036977ms) to execute
Nov 02 10:05:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:58.850712 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-vcm4p\" " with result "range_response_count:1 size:2314" took too long (262.592001ms) to execute
Nov 02 10:05:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:58.850778 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (416.373602ms) to execute
Nov 02 10:05:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:58.850821 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (422.664581ms) to execute
Nov 02 10:05:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:58.850926 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-jfgcm\" " with result "range_response_count:1 size:2440" took too long (223.971114ms) to execute
Nov 02 10:06:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:06:28.263260 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (192.555ms) to execute
Nov 02 10:06:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:06:28.453673 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (170.098737ms) to execute
Nov 02 10:06:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:06:44.327310 I | mvcc: store.index: compact 35629787
Nov 02 10:06:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:06:44.339982 I | mvcc: finished scheduled compaction at 35629787 (took 11.034921ms)
Nov 02 10:06:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:06:52.273429 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (133.359697ms) to execute
Nov 02 10:07:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:07:58.787892 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (175.62899ms) to execute
Nov 02 10:08:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:08:29.254096 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (334.94473ms) to execute
Nov 02 10:08:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:08:29.254230 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-pilot-service-account-token-q855w\" " with result "range_response_count:1 size:2433" took too long (391.406183ms) to execute
Nov 02 10:08:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:08:29.254341 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (519.783436ms) to execute
Nov 02 10:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:08:33.041394 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (318.640485ms) to execute
Nov 02 10:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:08:33.041588 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (197.762308ms) to execute
Nov 02 10:08:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:08:37.699765 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/logentries\" range_end:\"/registry/config.istio.io/logentriet\" count_only:true " with result "range_response_count:0 size:9" took too long (208.043579ms) to execute
Nov 02 10:08:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:08:59.569197 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (131.933258ms) to execute
Nov 02 10:08:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:08:59.569895 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (167.323677ms) to execute
Nov 02 10:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:13.368195 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (236.191508ms) to execute
Nov 02 10:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:13.384031 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (166.243854ms) to execute
Nov 02 10:09:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:13.519407 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (114.965983ms) to execute
Nov 02 10:09:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:18.027948 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/rbacconfigs\" range_end:\"/registry/rbac.istio.io/rbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (164.312948ms) to execute
Nov 02 10:09:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:30.720063 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (752.692944ms) to execute
Nov 02 10:09:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:30.736108 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (519.924872ms) to execute
Nov 02 10:09:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:30.736485 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (209.30452ms) to execute
Nov 02 10:09:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:42.260253 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (118.534565ms) to execute
Nov 02 10:09:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:53.657620 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (159.299807ms) to execute
Nov 02 10:09:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:53.657764 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (104.913535ms) to execute
Nov 02 10:09:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:55.239270 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (213.190379ms) to execute
Nov 02 10:09:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:55.247569 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (210.886861ms) to execute
Nov 02 10:09:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:56.409249 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (523.21304ms) to execute
Nov 02 10:09:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:09:58.435193 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (396.060017ms) to execute
Nov 02 10:10:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:02.294491 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-vcm4p\" " with result "range_response_count:1 size:2314" took too long (307.205534ms) to execute
Nov 02 10:10:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:02.295395 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (518.732972ms) to execute
Nov 02 10:10:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:02.296295 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (256.058814ms) to execute
Nov 02 10:10:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:17.161302 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (170.348766ms) to execute
Nov 02 10:10:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:20.462288 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (796.787468ms) to execute
Nov 02 10:10:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:20.462610 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (680.439291ms) to execute
Nov 02 10:10:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:20.462676 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (323.131397ms) to execute
Nov 02 10:10:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:20.462916 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (362.348141ms) to execute
Nov 02 10:10:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:20.463299 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (630.874572ms) to execute
Nov 02 10:10:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:33.938766 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-jfgcm\" " with result "range_response_count:1 size:2440" took too long (111.149282ms) to execute
Nov 02 10:10:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:48.452397 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (303.889041ms) to execute
Nov 02 10:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:10:57.148084 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (371.412278ms) to execute
Nov 02 10:11:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:04.533575 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (193.728288ms) to execute
Nov 02 10:11:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:11.290960 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (151.040629ms) to execute
Nov 02 10:11:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:11.583870 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (280.460678ms) to execute
Nov 02 10:11:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:11.583962 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (165.020945ms) to execute
Nov 02 10:11:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:11.584213 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (262.521943ms) to execute
Nov 02 10:11:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:11.584393 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listentries\" range_end:\"/registry/config.istio.io/listentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (254.678334ms) to execute
Nov 02 10:11:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:15.900963 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/instances\" range_end:\"/registry/config.istio.io/instancet\" count_only:true " with result "range_response_count:0 size:7" took too long (354.224173ms) to execute
Nov 02 10:11:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:31.756025 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (153.082788ms) to execute
Nov 02 10:11:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:33.697486 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (308.355642ms) to execute
Nov 02 10:11:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:33.697600 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (277.489979ms) to execute
Nov 02 10:11:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:35.104466 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (223.259175ms) to execute
Nov 02 10:11:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:36.315925 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (503.904378ms) to execute
Nov 02 10:11:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:36.320126 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (204.591851ms) to execute
Nov 02 10:11:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:44.342281 I | mvcc: store.index: compact 35630319
Nov 02 10:11:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:11:44.349439 I | mvcc: finished scheduled compaction at 35630319 (took 5.308263ms)
Nov 02 10:12:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:00.728042 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (124.906038ms) to execute
Nov 02 10:12:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:08.690292 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (760.816089ms) to execute
Nov 02 10:12:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:08.700769 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (523.083968ms) to execute
Nov 02 10:12:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:17.550691 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/dogstatsds\" range_end:\"/registry/config.istio.io/dogstatsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (181.870399ms) to execute
Nov 02 10:12:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:29.181813 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (398.597089ms) to execute
Nov 02 10:12:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:29.259235 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (257.292446ms) to execute
Nov 02 10:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:35.813841 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (341.199438ms) to execute
Nov 02 10:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:35.814034 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (118.882581ms) to execute
Nov 02 10:12:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:55.619405 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (153.741333ms) to execute
Nov 02 10:12:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:55.619878 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (259.511716ms) to execute
Nov 02 10:12:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:59.858699 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (290.704114ms) to execute
Nov 02 10:12:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:12:59.898998 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (261.664479ms) to execute
Nov 02 10:13:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:13:04.342815 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-mixer-service-account-token-4wtth\" " with result "range_response_count:1 size:2433" took too long (260.81627ms) to execute
Nov 02 10:13:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:13:04.343304 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (345.599791ms) to execute
Nov 02 10:13:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:13:04.343783 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (251.590983ms) to execute
Nov 02 10:13:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:13:32.195620 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (210.106543ms) to execute
Nov 02 10:13:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:13:32.195928 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (151.565621ms) to execute
Nov 02 10:13:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:13:34.551841 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-vcm4p\" " with result "range_response_count:1 size:2314" took too long (133.208343ms) to execute
