-- Logs begin at Wed 2020-01-29 20:49:21 UTC, end at Fri 2020-01-31 18:15:55 UTC. --
Jan 31 17:52:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:52:57.415383 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000737-000000000378eff8.wal successfully
Jan 31 17:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:16.684673 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:17.155696 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wjx4m\" " with result "error:context canceled" took too long (9.909666738s) to execute
Jan 31 17:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:17.155730 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "error:context canceled" took too long (9.909526979s) to execute
Jan 31 17:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:17.155810 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-wjx4m.15ef0a2962b1d1c6\" " with result "error:context canceled" took too long (9.909394476s) to execute
Jan 31 17:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:17.184629 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:17.184675 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:17.184715 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:17.685080 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:17.685147 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:17.685171 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:18.185324 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:18.185371 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:18.185388 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:18.685654 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:18.685720 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:18.685775 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:19.185849 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:19.185943 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:19.186008 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:19.686266 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:19.686347 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:19.686406 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:19.962368 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "error:context canceled" took too long (9.90261121s) to execute
Jan 31 17:57:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:20.186497 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:20.186609 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:20.186654 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:20.686654 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:20.686780 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:20.686839 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:21.187016 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:21.187065 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:21.187080 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:21.687301 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:21.687351 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:21.687383 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.042078 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "error:context canceled" took too long (9.928574481s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.187422 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.187471 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.187494 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217177 W | etcdserver: timed out waiting for read index response
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217350 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.885200278s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217372 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "error:etcdserver: request timed out" took too long (29.901423817s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217388 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "error:etcdserver: request timed out" took too long (15.898545802s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217404 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "error:etcdserver: request timed out" took too long (29.888222674s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217434 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.912284552s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217446 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "error:etcdserver: request timed out" took too long (29.88841366s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217472 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.921033289s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217486 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "error:etcdserver: request timed out" took too long (15.968173702s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217512 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "error:etcdserver: request timed out" took too long (29.888318556s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217531 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "error:etcdserver: request timed out" took too long (29.898864858s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217545 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.922460173s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217562 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "error:etcdserver: request timed out" took too long (16.95817231s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217593 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.928395975s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217620 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "error:etcdserver: request timed out" took too long (29.888439191s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217641 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "error:etcdserver: request timed out" took too long (17.747552s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217659 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.929640582s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217708 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "error:etcdserver: request timed out" took too long (19.377172687s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217731 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.947604965s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217765 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "error:etcdserver: request timed out" took too long (20.556800912s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217776 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.947687713s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217792 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "error:etcdserver: request timed out" took too long (27.097954121s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217811 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "error:etcdserver: request timed out" took too long (20.955432321s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217841 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "error:etcdserver: request timed out" took too long (29.889321099s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217871 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "error:etcdserver: request timed out" took too long (22.251471825s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217928 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "error:etcdserver: request timed out" took too long (22.313371371s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217952 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.8942201s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.217969 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "error:etcdserver: request timed out" took too long (22.330212187s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218014 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "error:etcdserver: request timed out" took too long (23.712267526s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218055 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "error:etcdserver: request timed out" took too long (23.817787787s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218095 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "error:etcdserver: request timed out" took too long (23.818241143s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218152 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "error:etcdserver: request timed out" took too long (23.819402579s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218171 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "error:etcdserver: request timed out" took too long (17.438545271s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218216 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "error:etcdserver: request timed out" took too long (23.820666292s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218273 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "error:etcdserver: request timed out" took too long (23.820757693s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218333 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "error:etcdserver: request timed out" took too long (25.474660659s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218373 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.928452356s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218566 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "error:etcdserver: request timed out" took too long (29.888277143s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218687 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "error:etcdserver: request timed out" took too long (26.002323342s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218854 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "error:etcdserver: request timed out" took too long (29.888392917s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.218971 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.922199607s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.219444 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.921569993s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.219729 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "error:etcdserver: request timed out" took too long (26.183590934s) to execute
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.688113 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.688258 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:22.688354 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:23.188491 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:23.188548 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:23.188570 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:23.688805 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:23.688908 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:23.688941 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.188816 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.188860 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.188888 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.273944 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "error:context canceled" took too long (1.910886405s) to execute
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.689152 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.689200 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.689219 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.861320 W | wal: sync duration of 1m2.839748335s, expected less than 1s
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864498 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864531 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864544 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864555 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864567 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864579 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864592 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864603 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864615 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864626 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864638 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864649 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864661 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864671 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864703 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864719 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864732 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864742 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864754 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864764 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864776 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864788 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864800 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864810 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864821 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864832 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864842 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("lease not found")
Jan 31 17:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:57:24.864852 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("lease not found")
