-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 08:10:10 UTC. --
Nov 02 07:48:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:01.368331 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (553.852408ms) to execute
Nov 02 07:55:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:42.617887 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (275.094803ms) to execute
Nov 02 07:55:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:42.618024 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (577.52712ms) to execute
Nov 02 07:55:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:44.081453 W | wal: sync duration of 1.289076904s, expected less than 1s
Nov 02 07:55:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:44.081626 W | etcdserver: request "header:<ID:14919139277658078394 > lease_revoke:<id:4f0b6e20c7633c4f>" with result "size:29" took too long (1.289097124s) to execute
Nov 02 07:55:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:44.081801 W | etcdserver: failed to revoke 4f0b6e20c7633c4f ("lease not found")
Nov 02 07:55:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:44.081829 W | etcdserver: failed to revoke 4f0b6e20c7633c4f ("lease not found")
Nov 02 07:55:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:44.082331 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:32503" took too long (1.226464106s) to execute
Nov 02 07:55:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:44.084426 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (700.517883ms) to execute
Nov 02 07:55:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:44.084450 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.010553097s) to execute
Nov 02 07:55:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:56.322128 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (163.341112ms) to execute
Nov 02 07:56:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:04.944531 W | wal: sync duration of 1.10104793s, expected less than 1s
Nov 02 07:56:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:04.944788 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (764.422504ms) to execute
Nov 02 07:56:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:04.944822 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (774.580093ms) to execute
Nov 02 07:56:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:04.944905 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (201.61976ms) to execute
Nov 02 07:56:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:05.697956 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/heapster\" " with result "range_response_count:0 size:7" took too long (746.163748ms) to execute
Nov 02 07:56:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:05.701077 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (588.607094ms) to execute
Nov 02 07:56:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:05.701123 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (416.976996ms) to execute
Nov 02 07:56:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:16.051601 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (672.131524ms) to execute
Nov 02 07:56:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:16.059491 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (319.575477ms) to execute
Nov 02 07:56:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:16.059610 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (678.839837ms) to execute
Nov 02 07:56:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:28.003534 W | wal: sync duration of 1.303508266s, expected less than 1s
Nov 02 07:56:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:28.006183 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (211.938279ms) to execute
Nov 02 07:56:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:28.006260 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (936.065109ms) to execute
Nov 02 07:56:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:28.006281 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (965.096854ms) to execute
Nov 02 07:56:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:29.985514 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (704.84721ms) to execute
Nov 02 07:56:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:30.312567 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (101.010035ms) to execute
Nov 02 07:56:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:30.312768 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (115.665055ms) to execute
Nov 02 07:56:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:33.126546 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (289.874354ms) to execute
Nov 02 07:56:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:35.456666 W | wal: sync duration of 1.124178177s, expected less than 1s
Nov 02 07:56:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:35.457387 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (980.277133ms) to execute
Nov 02 07:56:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:35.457875 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (190.844635ms) to execute
Nov 02 07:56:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:35.458655 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (153.918936ms) to execute
Nov 02 07:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:37.212330 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (1.12058454s) to execute
Nov 02 07:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:37.212577 W | etcdserver: request "header:<ID:14919139277658078826 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35608565 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (806.290263ms) to execute
Nov 02 07:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:37.218780 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (882.498252ms) to execute
Nov 02 07:56:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:38.954139 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (197.028248ms) to execute
Nov 02 07:56:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:43.485486 I | mvcc: store.index: compact 35608015
Nov 02 07:56:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:43.490979 W | etcdserver: request "header:<ID:14919139277658078878 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:35608015 > " with result "size:7" took too long (121.988291ms) to execute
Nov 02 07:56:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:43.491126 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (110.518818ms) to execute
Nov 02 07:56:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:43.496216 I | mvcc: finished scheduled compaction at 35608015 (took 8.598247ms)
Nov 02 07:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:46.275931 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:34725" took too long (100.147829ms) to execute
Nov 02 07:56:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:58.459409 W | wal: sync duration of 1.230043679s, expected less than 1s
Nov 02 07:56:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:58.459800 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (1.230273777s) to execute
Nov 02 07:56:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:58.471887 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r9lp4\" " with result "range_response_count:1 size:1954" took too long (203.070694ms) to execute
Nov 02 07:56:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:58.472138 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (347.167602ms) to execute
Nov 02 07:56:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:58.472327 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (411.040846ms) to execute
Nov 02 07:56:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:58.472817 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.166615927s) to execute
Nov 02 07:56:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:58.473191 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (1.237203233s) to execute
Nov 02 07:56:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:56:58.473736 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (1.238626225s) to execute
Nov 02 07:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:03.069485 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (561.530502ms) to execute
Nov 02 07:57:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:03.417555 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (183.207088ms) to execute
Nov 02 07:57:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:05.471085 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (379.605003ms) to execute
Nov 02 07:57:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:05.471425 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (204.269599ms) to execute
Nov 02 07:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:17.708925 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (113.342264ms) to execute
Nov 02 07:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:19.440874 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (911.345766ms) to execute
Nov 02 07:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:19.448382 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (661.238945ms) to execute
Nov 02 07:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:19.448627 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authorization.k8s.io\" " with result "range_response_count:1 size:653" took too long (661.578067ms) to execute
Nov 02 07:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:19.448802 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (253.353208ms) to execute
Nov 02 07:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:19.448849 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (876.059567ms) to execute
Nov 02 07:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:19.449038 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (895.664031ms) to execute
Nov 02 07:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:19.449139 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (659.266738ms) to execute
Nov 02 07:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:19.449351 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (661.204957ms) to execute
Nov 02 07:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:19.449602 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "range_response_count:1 size:667" took too long (662.420205ms) to execute
Nov 02 07:57:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:23.532412 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (152.806106ms) to execute
Nov 02 07:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:27.404150 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-d49mg.15d348e0ddc45f51\" " with result "range_response_count:1 size:558" took too long (321.695586ms) to execute
Nov 02 07:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:27.410491 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (103.732265ms) to execute
Nov 02 07:57:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:29.167346 W | wal: sync duration of 1.603016999s, expected less than 1s
Nov 02 07:57:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:29.167792 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.594421632s) to execute
Nov 02 07:57:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:29.178620 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-d49mg.15d348e0f13f55ab\" " with result "range_response_count:1 size:465" took too long (1.513428416s) to execute
Nov 02 07:57:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:29.178858 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (333.523868ms) to execute
Nov 02 07:57:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:29.179059 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-d49mg\" " with result "range_response_count:1 size:1843" took too long (1.167843475s) to execute
Nov 02 07:57:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:34.235839 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (648.894521ms) to execute
Nov 02 07:57:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:34.243816 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (638.122558ms) to execute
Nov 02 07:57:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:38.409504 W | wal: sync duration of 1.170185002s, expected less than 1s
Nov 02 07:57:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:38.411564 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (151.862728ms) to execute
Nov 02 07:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:44.431887 W | wal: sync duration of 1.231846006s, expected less than 1s
Nov 02 07:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:44.432352 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.169405961s) to execute
Nov 02 07:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:44.439367 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.057916984s) to execute
Nov 02 07:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:44.439702 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (137.046984ms) to execute
Nov 02 07:57:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:44.439966 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (507.635829ms) to execute
Nov 02 07:57:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:54.154804 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (792.881729ms) to execute
Nov 02 07:57:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:54.154905 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (227.179569ms) to execute
Nov 02 07:57:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:54.155229 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (655.798712ms) to execute
Nov 02 07:57:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:54.155360 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (344.652556ms) to execute
Nov 02 07:57:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:54.155406 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (775.280931ms) to execute
Nov 02 07:57:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:58.700890 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (138.729718ms) to execute
Nov 02 07:57:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:59.783474 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (207.908565ms) to execute
Nov 02 07:57:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:57:59.783623 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (181.019031ms) to execute
Nov 02 07:58:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:02.851931 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (134.653502ms) to execute
Nov 02 07:58:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:02.852065 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (119.938203ms) to execute
Nov 02 07:58:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:14.127258 W | wal: sync duration of 1.2244008s, expected less than 1s
Nov 02 07:58:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:14.130735 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (1.055988614s) to execute
Nov 02 07:58:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:14.136366 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (753.502059ms) to execute
Nov 02 07:58:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:15.974955 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (284.853728ms) to execute
Nov 02 07:58:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:18.721249 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (571.116556ms) to execute
Nov 02 07:58:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:18.721293 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (571.266548ms) to execute
Nov 02 07:58:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:18.721463 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (198.611289ms) to execute
Nov 02 07:58:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:18.721549 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1480" took too long (425.192643ms) to execute
Nov 02 07:58:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:24.791445 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (601.676206ms) to execute
Nov 02 07:58:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:24.868912 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (197.818985ms) to execute
Nov 02 07:58:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:29.328344 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (359.740123ms) to execute
Nov 02 07:58:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:47.499226 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (541.82464ms) to execute
Nov 02 07:58:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:49.872156 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1480" took too long (206.49546ms) to execute
Nov 02 07:58:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:49.872599 W | etcdserver: request "header:<ID:14919139277658079884 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:35608838 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (124.679155ms) to execute
Nov 02 07:58:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:55.811706 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (226.040046ms) to execute
Nov 02 07:58:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:58:58.121634 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (302.733331ms) to execute
Nov 02 07:59:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:59:00.679438 W | wal: sync duration of 1.110767911s, expected less than 1s
