-- Logs begin at Fri 2020-01-31 10:16:36 UTC, end at Sat 2020-02-01 23:37:59 UTC. --
Feb 01 23:14:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:14:38.417189 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (151.517491ms) to execute
Feb 01 23:27:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:27:14.872554 W | etcdserver: request "header:<ID:14919139277751715545 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-telemetry-57658695c8\" mod_revision:53299939 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-telemetry-57658695c8\" value_size:2633 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-telemetry-57658695c8\" > >>" with result "size:20" took too long (142.682668ms) to execute
Feb 01 23:27:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:27:14.887605 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-telemetry\" " with result "range_response_count:1 size:959" took too long (157.504263ms) to execute
Feb 01 23:29:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:29:29.031873 I | mvcc: store.index: compact 53299489
Feb 01 23:29:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:29:29.045794 I | mvcc: finished scheduled compaction at 53299489 (took 6.302899ms)
Feb 01 23:29:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:29:29.312388 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (111.534629ms) to execute
Feb 01 23:30:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:30:52.920302 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (236.813048ms) to execute
Feb 01 23:32:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:32:02.931999 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (258.812844ms) to execute
Feb 01 23:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:32:12.374715 I | etcdserver: start to snapshot (applied: 58737395, lastsnap: 58727394)
Feb 01 23:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:32:12.450993 I | etcdserver: saved snapshot at index 58737395
Feb 01 23:32:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:32:12.451293 I | etcdserver: compacted raft log at 58732395
Feb 01 23:32:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:32:28.845160 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000037f7f9c.snap successfully
Feb 01 23:34:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:34:29.052298 I | mvcc: store.index: compact 53300250
Feb 01 23:34:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:34:29.060946 I | mvcc: finished scheduled compaction at 53300250 (took 7.291369ms)
Feb 01 23:34:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:34:29.392810 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (216.652396ms) to execute
