-- Logs begin at Sat 2020-02-01 07:14:07 UTC, end at Sun 2020-02-02 22:31:26 UTC. --
Feb 02 22:08:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:08:44.588933 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-m6hv4.15efb27ce823c26e\" " with result "range_response_count:1 size:569" took too long (103.38153ms) to execute
Feb 02 22:24:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:24:25.338867 W | etcdserver: request "header:<ID:14919139277752609321 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:53518596 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (590.607762ms) to execute
Feb 02 22:24:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:24:25.339075 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:2 size:3717" took too long (459.713574ms) to execute
Feb 02 22:24:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:24:54.192426 I | mvcc: store.index: compact 53518084
Feb 02 22:24:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:24:54.198369 I | mvcc: finished scheduled compaction at 53518084 (took 4.378791ms)
Feb 02 22:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:25:23.880638 N | compactor: Starting auto-compaction at revision 53448013
Feb 02 22:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:25:23.881460 N | compactor: Finished auto-compaction at revision 53448013
Feb 02 22:25:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:25:59.576269 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (884.073261ms) to execute
Feb 02 22:25:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:25:59.614475 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (653.737502ms) to execute
Feb 02 22:25:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:25:59.614622 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (666.12399ms) to execute
Feb 02 22:25:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:25:59.614733 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (406.391111ms) to execute
Feb 02 22:26:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:26:19.941714 W | wal: sync duration of 1.859618992s, expected less than 1s
Feb 02 22:26:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:26:19.945711 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (314.126735ms) to execute
Feb 02 22:26:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:26:19.949397 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (225.738846ms) to execute
Feb 02 22:26:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:26:19.949801 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (210.127847ms) to execute
Feb 02 22:28:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:28:01.003473 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (497.376923ms) to execute
Feb 02 22:28:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:28:01.003944 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (467.443844ms) to execute
