-- Logs begin at Thu 2020-01-30 03:46:10 UTC, end at Fri 2020-01-31 22:51:59 UTC. --
Jan 31 22:29:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:07.775511 W | wal: sync duration of 1.044483122s, expected less than 1s
Jan 31 22:33:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:33:59.580883 W | etcdserver: request "header:<ID:14919139277750737895 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-6dpc5.15ef197bdce2aad2\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-6dpc5.15ef197bdce2aad2\" value_size:456 lease:5695767240895961911 >> failure:<>>" with result "size:20" took too long (195.119755ms) to execute
Jan 31 22:33:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:33:59.580986 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/statsds\" range_end:\"/registry/config.istio.io/statsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (112.257761ms) to execute
Jan 31 22:34:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:01.550330 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (314.649855ms) to execute
Jan 31 22:34:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:01.550851 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/metrics\" range_end:\"/registry/config.istio.io/metrict\" count_only:true " with result "range_response_count:0 size:9" took too long (814.448016ms) to execute
Jan 31 22:34:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:01.551234 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-59lv5.15ef1957fc7a241f\" " with result "range_response_count:1 size:591" took too long (813.758665ms) to execute
Jan 31 22:34:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:02.371336 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6dpc5\" " with result "range_response_count:1 size:4174" took too long (253.879136ms) to execute
Jan 31 22:34:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:02.371461 W | etcdserver: request "header:<ID:14919139277750737937 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:53050696 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (219.439818ms) to execute
Jan 31 22:34:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:02.371609 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (204.138172ms) to execute
Jan 31 22:34:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:05.977896 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/adapters\" range_end:\"/registry/config.istio.io/adaptert\" count_only:true " with result "range_response_count:0 size:7" took too long (175.273966ms) to execute
Jan 31 22:34:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:09.350443 I | mvcc: store.index: compact 53050056
Jan 31 22:34:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:09.357620 I | mvcc: finished scheduled compaction at 53050056 (took 5.087256ms)
Jan 31 22:34:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:09.559108 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (170.565541ms) to execute
Jan 31 22:34:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:32.868656 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (378.827299ms) to execute
Jan 31 22:34:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:32.869227 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (351.640755ms) to execute
Jan 31 22:34:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:37.128665 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (191.900644ms) to execute
Jan 31 22:34:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:41.836486 W | etcdserver: request "header:<ID:14919139277750738344 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:53050759 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (396.89629ms) to execute
Jan 31 22:34:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:41.836749 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (377.617599ms) to execute
Jan 31 22:34:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:44.414698 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (139.584646ms) to execute
Jan 31 22:34:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:49.754491 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (231.13869ms) to execute
Jan 31 22:34:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:49.754597 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-qgxvn\" " with result "range_response_count:1 size:2440" took too long (707.492195ms) to execute
Jan 31 22:34:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:49.754943 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (288.739552ms) to execute
Jan 31 22:34:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:49.755908 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (535.445198ms) to execute
Jan 31 22:34:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:51.232027 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (155.405482ms) to execute
Jan 31 22:34:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:34:53.589563 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (133.387448ms) to execute
Jan 31 22:35:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:04.344258 W | etcdserver: request "header:<ID:14919139277750738588 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53050850 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (186.089334ms) to execute
Jan 31 22:35:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:04.344558 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (124.08348ms) to execute
Jan 31 22:35:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:11.519662 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (465.913062ms) to execute
Jan 31 22:35:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:14.808609 W | etcdserver: request "header:<ID:14919139277750738719 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-jjt86.15ef19935109589b\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-jjt86.15ef19935109589b\" value_size:370 lease:5695767240895962845 >> failure:<>>" with result "size:20" took too long (270.025093ms) to execute
Jan 31 22:35:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:15.822646 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (143.216397ms) to execute
Jan 31 22:35:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:17.281657 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (209.607827ms) to execute
Jan 31 22:35:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:19.944387 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (211.272361ms) to execute
Jan 31 22:35:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:22.361286 W | etcdserver: request "header:<ID:14919139277750738799 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53050898 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (130.224249ms) to execute
Jan 31 22:35:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:22.361736 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (118.893602ms) to execute
Jan 31 22:35:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:25.270796 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (995.317888ms) to execute
Jan 31 22:35:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:25.271253 W | etcdserver: request "header:<ID:14919139277750738833 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53050909 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (899.348094ms) to execute
Jan 31 22:35:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:25.271499 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (887.061678ms) to execute
Jan 31 22:35:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:25.271696 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (846.473176ms) to execute
Jan 31 22:35:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:25.272173 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (181.596855ms) to execute
Jan 31 22:35:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:25.272364 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jjt86\" " with result "range_response_count:1 size:4148" took too long (258.62165ms) to execute
Jan 31 22:35:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:25.272537 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (438.569092ms) to execute
Jan 31 22:35:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:25.272713 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (458.744006ms) to execute
Jan 31 22:35:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:25.272890 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/reportnothings\" range_end:\"/registry/config.istio.io/reportnothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (753.996677ms) to execute
Jan 31 22:35:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:30.927042 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (729.548882ms) to execute
Jan 31 22:35:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:30.927226 W | etcdserver: request "header:<ID:14919139277750738921 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:53050935 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (323.403391ms) to execute
Jan 31 22:35:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:32.680740 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (300.476388ms) to execute
Jan 31 22:35:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:32.681178 W | etcdserver: request "header:<ID:14919139277750738933 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53050939 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (297.579678ms) to execute
Jan 31 22:35:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:35.615726 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (136.05612ms) to execute
Jan 31 22:35:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:38.648811 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:4 size:16202" took too long (352.353838ms) to execute
Jan 31 22:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:42.572660 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/opas\" range_end:\"/registry/config.istio.io/opat\" count_only:true " with result "range_response_count:0 size:7" took too long (142.018196ms) to execute
Jan 31 22:35:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:42.572741 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (247.982916ms) to execute
Jan 31 22:35:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:50.575906 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (102.552551ms) to execute
Jan 31 22:35:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:51.386988 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stdios\" range_end:\"/registry/config.istio.io/stdiot\" count_only:true " with result "range_response_count:0 size:7" took too long (259.315802ms) to execute
Jan 31 22:35:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:35:58.347872 W | etcdserver: request "header:<ID:14919139277750739161 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:53050987 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (191.164267ms) to execute
Jan 31 22:36:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:03.603073 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/redisquotas\" range_end:\"/registry/config.istio.io/redisquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (252.302135ms) to execute
Jan 31 22:36:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:03.603253 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (265.227242ms) to execute
Jan 31 22:36:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:06.639138 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (248.996668ms) to execute
Jan 31 22:36:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:06.639251 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (1.165906725s) to execute
Jan 31 22:36:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:06.639697 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (586.176153ms) to execute
Jan 31 22:36:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:06.639927 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (586.409306ms) to execute
Jan 31 22:36:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:06.640073 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (751.428011ms) to execute
Jan 31 22:36:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:06.640491 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (869.759182ms) to execute
Jan 31 22:36:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:08.303612 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (176.372792ms) to execute
Jan 31 22:36:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:11.056285 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (389.270053ms) to execute
Jan 31 22:36:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:11.056375 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (380.000743ms) to execute
Jan 31 22:36:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:11.056537 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (388.335191ms) to execute
Jan 31 22:36:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:13.908521 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/adapters\" range_end:\"/registry/config.istio.io/adaptert\" count_only:true " with result "range_response_count:0 size:7" took too long (724.366415ms) to execute
Jan 31 22:36:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:13.908642 W | etcdserver: request "header:<ID:14919139277750739328 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:53051014 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (665.976623ms) to execute
Jan 31 22:36:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:13.908852 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (559.132762ms) to execute
Jan 31 22:36:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:13.909027 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (147.316716ms) to execute
Jan 31 22:36:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:18.312355 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/authorizations\" range_end:\"/registry/config.istio.io/authorizationt\" count_only:true " with result "range_response_count:0 size:7" took too long (163.82305ms) to execute
Jan 31 22:36:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:22.619468 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kuberneteses\" range_end:\"/registry/config.istio.io/kuberneteset\" count_only:true " with result "range_response_count:0 size:9" took too long (1.358629164s) to execute
Jan 31 22:36:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:22.619525 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (325.512963ms) to execute
Jan 31 22:36:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:22.619585 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-pilot-service-account-token-82vfb\" " with result "range_response_count:1 size:2433" took too long (1.459538524s) to execute
Jan 31 22:36:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:22.619930 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (1.456066239s) to execute
Jan 31 22:36:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:22.620088 W | etcdserver: request "header:<ID:14919139277750739405 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:53051031 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (302.090292ms) to execute
Jan 31 22:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:33.786232 W | etcdserver: request "header:<ID:14919139277750739531 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53051050 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (856.76583ms) to execute
Jan 31 22:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:33.786604 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (621.751503ms) to execute
Jan 31 22:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:33.786801 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (598.65524ms) to execute
Jan 31 22:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:33.787143 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (449.604294ms) to execute
Jan 31 22:36:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:33.787792 W | etcdserver: failed to revoke 4f0b6e20cce88405 ("lease not found")
Jan 31 22:36:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:39.399697 W | etcdserver: request "header:<ID:14919139277750739571 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:53051059 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (940.836665ms) to execute
Jan 31 22:36:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:39.399955 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (677.999634ms) to execute
Jan 31 22:36:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:43.154170 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (352.233309ms) to execute
Jan 31 22:36:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:45.230915 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (398.270125ms) to execute
Jan 31 22:36:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:45.230991 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (116.321253ms) to execute
Jan 31 22:36:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:45.231206 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (624.883274ms) to execute
Jan 31 22:36:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:49.677654 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (154.194185ms) to execute
Jan 31 22:36:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:58.528806 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (572.385474ms) to execute
Jan 31 22:36:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:36:58.905548 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (272.866398ms) to execute
