-- Logs begin at Sun 2020-03-29 12:25:01 UTC, end at Tue 2020-03-31 12:24:54 UTC. --
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.637614 W | wal: sync duration of 1.116563454s, expected less than 1s
Mar 31 12:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:13:10.386741 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5925" took too long (322.967061ms) to execute
Mar 31 12:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:13:10.386828 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (131.044523ms) to execute
Mar 31 12:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:13:10.387039 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (296.25214ms) to execute
Mar 31 12:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:13:10.387331 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (215.47235ms) to execute
Mar 31 12:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:13:10.387466 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (334.244658ms) to execute
Mar 31 12:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:13:28.647403 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (133.663485ms) to execute
Mar 31 12:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:13:28.647671 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:25 size:71503" took too long (145.863459ms) to execute
Mar 31 12:14:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:14:27.807079 W | wal: sync duration of 1.080836321s, expected less than 1s
Mar 31 12:14:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:14:27.809900 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (900.147329ms) to execute
Mar 31 12:14:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:14:27.846950 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (178.776927ms) to execute
Mar 31 12:14:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:14:27.847039 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (744.05721ms) to execute
Mar 31 12:14:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:14:27.847146 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:25 size:71503" took too long (843.435449ms) to execute
Mar 31 12:14:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:14:27.847478 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (153.051483ms) to execute
Mar 31 12:14:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:14:54.360983 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (236.672128ms) to execute
Mar 31 12:15:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:15:18.056995 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (127.90966ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.391829 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (152.77458ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.392114 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (154.545276ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.426229 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-gwbnz\" " with result "range_response_count:1 size:2440" took too long (122.361784ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.426504 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-gwbnz\" " with result "range_response_count:1 size:2440" took too long (122.918744ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.426619 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-gwbnz\" " with result "range_response_count:1 size:2440" took too long (131.269879ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.426730 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-gwbnz\" " with result "range_response_count:1 size:2440" took too long (131.449951ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.426943 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-gwbnz\" " with result "range_response_count:1 size:2440" took too long (132.743263ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.426979 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-n7vdd\" " with result "range_response_count:1 size:2946" took too long (139.77566ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.427253 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-gwbnz\" " with result "range_response_count:1 size:2440" took too long (157.344669ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.427332 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-gwbnz\" " with result "range_response_count:1 size:2440" took too long (159.304831ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.427468 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-gwbnz\" " with result "range_response_count:1 size:2440" took too long (159.665892ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.427554 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-gwbnz\" " with result "range_response_count:1 size:2440" took too long (160.108516ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.427600 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (180.714323ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.427644 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gdnfc\" " with result "range_response_count:1 size:2946" took too long (165.053998ms) to execute
Mar 31 12:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:29.596509 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (102.874291ms) to execute
Mar 31 12:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:49.417076 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:890" took too long (140.040393ms) to execute
Mar 31 12:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:49.417898 W | etcdserver: request "header:<ID:14919139277805366554 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-egressgateway\" mod_revision:62443170 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-egressgateway\" value_size:5827 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-egressgateway\" > >>" with result "size:20" took too long (125.192018ms) to execute
Mar 31 12:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:49.433969 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/kiali-59765b9f4b-p5jn8\" " with result "range_response_count:1 size:2085" took too long (152.132088ms) to execute
Mar 31 12:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:49.434055 W | etcdserver: read-only range request "key:\"/registry/events/default/openhouse-demo-k8s-node-1.160037e9fd0c7c28\" " with result "range_response_count:1 size:463" took too long (113.322526ms) to execute
Mar 31 12:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:49.656121 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-z6xph.1601629ca330a18d\" " with result "range_response_count:1 size:572" took too long (135.231705ms) to execute
Mar 31 12:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:49.659729 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (135.22137ms) to execute
Mar 31 12:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:49.659935 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-flannel-t5kr6\" " with result "range_response_count:1 size:3071" took too long (135.436199ms) to execute
Mar 31 12:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:16:49.660079 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (134.112582ms) to execute
Mar 31 12:17:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:17:25.875379 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6188" took too long (145.644891ms) to execute
Mar 31 12:17:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:17:25.911329 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:691" took too long (176.90296ms) to execute
Mar 31 12:17:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:17:25.913320 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:890" took too long (178.848502ms) to execute
Mar 31 12:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:17:29.426860 I | mvcc: store.index: compact 62443265
Mar 31 12:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:17:29.434502 I | mvcc: finished scheduled compaction at 62443265 (took 5.504545ms)
Mar 31 12:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:17:29.889633 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (330.329194ms) to execute
Mar 31 12:17:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:17:38.459311 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:25 size:71423" took too long (142.71982ms) to execute
Mar 31 12:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:05.573455 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (162.404627ms) to execute
Mar 31 12:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:05.574066 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (214.011585ms) to execute
Mar 31 12:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:05.591446 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (138.479983ms) to execute
Mar 31 12:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:05.591596 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (135.794753ms) to execute
Mar 31 12:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:05.591930 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (136.514871ms) to execute
Mar 31 12:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:05.771122 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (134.893733ms) to execute
Mar 31 12:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:05.771409 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (130.882506ms) to execute
Mar 31 12:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:05.791008 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2627" took too long (112.532095ms) to execute
Mar 31 12:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:05.819233 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (137.712252ms) to execute
Mar 31 12:18:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:05.819376 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (139.051552ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.025833 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (194.454699ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.025889 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (195.13837ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.025960 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (203.439244ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.076632 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:890" took too long (199.726268ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.339415 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-7zqc6\" " with result "range_response_count:1 size:3398" took too long (197.36794ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.385517 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (229.582113ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.385822 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:25 size:71433" took too long (117.345501ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.600189 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:785" took too long (158.635608ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.849662 W | etcdserver: request "header:<ID:14919139277805368001 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-telemetry-57658695c8-mtjwz\" mod_revision:62443950 > success:<request_put:<key:\"/registry/pods/istio-system/istio-telemetry-57658695c8-mtjwz\" value_size:3465 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-telemetry-57658695c8-mtjwz\" > >>" with result "size:20" took too long (140.217193ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.849840 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:772" took too long (151.05158ms) to execute
Mar 31 12:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:18:06.869294 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/rbacs\" range_end:\"/registry/config.istio.io/rbact\" count_only:true " with result "range_response_count:0 size:7" took too long (129.564183ms) to execute
Mar 31 12:20:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:20:54.313044 I | etcdserver: start to snapshot (applied: 68948525, lastsnap: 68938524)
Mar 31 12:20:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:20:54.377363 I | etcdserver: saved snapshot at index 68948525
Mar 31 12:20:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:20:54.377728 I | etcdserver: compacted raft log at 68943525
Mar 31 12:21:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:21:12.711429 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:25 size:71440" took too long (175.999841ms) to execute
Mar 31 12:21:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:21:22.725656 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000041b4ed8.snap successfully
Mar 31 12:21:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:21:26.014846 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (510.854964ms) to execute
Mar 31 12:21:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:21:26.014936 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (497.443329ms) to execute
Mar 31 12:21:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:21:26.014973 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:2198" took too long (507.789828ms) to execute
