-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 01:38:13 UTC. --
Nov 05 01:16:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:18.596723 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (383.904867ms) to execute
Nov 05 01:21:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:18.772525 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lq977\" " with result "range_response_count:1 size:1855" took too long (246.399279ms) to execute
Nov 05 01:21:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:19.131443 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (182.274806ms) to execute
Nov 05 01:21:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:19.132260 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (144.589076ms) to execute
Nov 05 01:21:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:29.114553 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-qnvxt.15d41f91646ff1bf\" " with result "range_response_count:1 size:591" took too long (145.408407ms) to execute
Nov 05 01:21:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:29.115255 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (182.662522ms) to execute
Nov 05 01:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:39.597029 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5xxbs\" " with result "range_response_count:1 size:1730" took too long (695.603231ms) to execute
Nov 05 01:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:39.597101 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (439.843866ms) to execute
Nov 05 01:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:39.597246 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-qnvxt.15d41f91646ff1bf\" " with result "range_response_count:1 size:591" took too long (630.547642ms) to execute
Nov 05 01:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:39.597338 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qnvxt\" " with result "range_response_count:1 size:1622" took too long (630.846893ms) to execute
Nov 05 01:21:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:40.838067 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (182.741217ms) to execute
Nov 05 01:21:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:46.871893 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (147.826939ms) to execute
Nov 05 01:21:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:51.085830 W | wal: sync duration of 2.117341157s, expected less than 1s
Nov 05 01:21:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:51.096728 W | etcdserver: failed to revoke 4f0b6e20c787be1f ("lease not found")
Nov 05 01:21:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:51.097049 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.468707265s) to execute
Nov 05 01:21:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:51.097172 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.428071839s) to execute
Nov 05 01:21:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:51.097404 W | etcdserver: failed to revoke 4f0b6e20c787be1f ("lease not found")
Nov 05 01:21:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:51.097518 W | etcdserver: failed to revoke 4f0b6e20c788436d ("lease not found")
Nov 05 01:21:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:51.098181 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (618.511988ms) to execute
Nov 05 01:21:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:51.098432 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (430.303218ms) to execute
Nov 05 01:21:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:51.099018 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.22777091s) to execute
Nov 05 01:21:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:57.288305 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (476.466056ms) to execute
Nov 05 01:21:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:57.297857 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (168.480879ms) to execute
Nov 05 01:21:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:57.297910 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (235.281671ms) to execute
Nov 05 01:21:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:57.298094 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (163.545557ms) to execute
Nov 05 01:21:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:57.298332 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (409.477633ms) to execute
Nov 05 01:22:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:01.676067 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (342.158906ms) to execute
Nov 05 01:22:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:07.391561 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dxghk\" " with result "range_response_count:1 size:1624" took too long (161.498844ms) to execute
Nov 05 01:22:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:07.401129 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (153.996788ms) to execute
Nov 05 01:22:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:09.766405 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-qnvxt.15d41f8c33c05645\" " with result "range_response_count:1 size:468" took too long (105.641065ms) to execute
Nov 05 01:22:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:12.455562 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (348.411633ms) to execute
Nov 05 01:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:13.779487 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (397.996419ms) to execute
Nov 05 01:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:13.780736 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (354.297851ms) to execute
Nov 05 01:22:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:13.780982 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (175.161561ms) to execute
Nov 05 01:22:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:17.140798 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (243.08702ms) to execute
Nov 05 01:22:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:19.181952 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (156.775242ms) to execute
Nov 05 01:22:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:19.182316 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (539.669692ms) to execute
Nov 05 01:22:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:24.022087 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (113.333137ms) to execute
Nov 05 01:22:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:39.198864 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-qnvxt.15d41f91646ff1bf\" " with result "range_response_count:1 size:591" took too long (232.913698ms) to execute
Nov 05 01:22:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:45.889800 I | mvcc: store.index: compact 36202432
Nov 05 01:22:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:45.891028 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-dxghk.15d41f90916aaf45\" " with result "range_response_count:1 size:591" took too long (518.909245ms) to execute
Nov 05 01:22:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:45.894763 I | mvcc: finished scheduled compaction at 36202432 (took 3.952135ms)
Nov 05 01:22:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:46.323263 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (202.597675ms) to execute
Nov 05 01:22:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:48.677201 W | wal: sync duration of 1.207364542s, expected less than 1s
Nov 05 01:22:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:48.677517 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (582.982612ms) to execute
Nov 05 01:22:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:48.687332 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (353.363476ms) to execute
Nov 05 01:22:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:58.828515 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (103.599214ms) to execute
Nov 05 01:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:59.206208 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-qnvxt.15d41f9160a62246\" " with result "range_response_count:1 size:590" took too long (322.138407ms) to execute
Nov 05 01:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:59.213070 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (303.748656ms) to execute
Nov 05 01:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:22:59.213401 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qnvxt\" " with result "range_response_count:1 size:1733" took too long (247.912792ms) to execute
Nov 05 01:23:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:02.807123 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (145.990538ms) to execute
Nov 05 01:23:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:03.622225 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (242.600624ms) to execute
Nov 05 01:23:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:03.622285 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (392.964445ms) to execute
Nov 05 01:23:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:07.747922 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (103.192408ms) to execute
Nov 05 01:23:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:12.277581 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (103.393746ms) to execute
Nov 05 01:23:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:13.009092 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (178.659925ms) to execute
Nov 05 01:23:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:19.147740 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (152.22988ms) to execute
Nov 05 01:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:24.247902 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (408.39628ms) to execute
Nov 05 01:23:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:25.849099 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (276.254164ms) to execute
Nov 05 01:23:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:27.291856 W | wal: sync duration of 1.030105604s, expected less than 1s
Nov 05 01:23:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:27.294812 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dxghk\" " with result "range_response_count:1 size:1735" took too long (821.120099ms) to execute
Nov 05 01:23:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:27.302032 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (468.749953ms) to execute
Nov 05 01:23:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:27.302087 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1407" took too long (654.970526ms) to execute
Nov 05 01:23:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:27.302206 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (795.845447ms) to execute
Nov 05 01:23:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:28.324778 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (611.553638ms) to execute
Nov 05 01:23:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:28.325192 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (611.536622ms) to execute
Nov 05 01:23:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:28.325243 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (283.064883ms) to execute
Nov 05 01:23:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:28.325278 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:4 size:7146" took too long (557.102815ms) to execute
Nov 05 01:23:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:40.211619 W | wal: sync duration of 1.283988788s, expected less than 1s
Nov 05 01:23:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:40.211992 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (822.358876ms) to execute
Nov 05 01:23:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:42.344258 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (321.799387ms) to execute
Nov 05 01:23:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:42.354812 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (131.594063ms) to execute
Nov 05 01:23:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:23:43.326317 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (123.759955ms) to execute
Nov 05 01:24:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:12.385229 W | wal: sync duration of 1.336456661s, expected less than 1s
Nov 05 01:24:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:12.388080 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.189812044s) to execute
Nov 05 01:24:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:12.393486 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.188412382s) to execute
Nov 05 01:24:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:12.393708 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.024521341s) to execute
Nov 05 01:24:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:19.705475 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (726.303202ms) to execute
Nov 05 01:24:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:19.711413 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (690.731358ms) to execute
Nov 05 01:24:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:19.711551 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (732.29771ms) to execute
Nov 05 01:24:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:24.249388 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (384.781746ms) to execute
Nov 05 01:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:28.534780 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (341.79405ms) to execute
Nov 05 01:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:28.937993 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lq977\" " with result "range_response_count:1 size:1855" took too long (416.40586ms) to execute
Nov 05 01:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:28.938072 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (605.043953ms) to execute
Nov 05 01:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:28.941202 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (361.945052ms) to execute
Nov 05 01:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:28.941242 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (352.761896ms) to execute
Nov 05 01:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:28.941411 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (354.274508ms) to execute
Nov 05 01:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:28.941472 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (244.007498ms) to execute
Nov 05 01:24:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:29.888029 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (151.185408ms) to execute
Nov 05 01:24:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:24:49.242492 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (145.260337ms) to execute
Nov 05 01:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:25:27.979775 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (371.282953ms) to execute
Nov 05 01:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:25:27.987724 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (166.305161ms) to execute
Nov 05 01:25:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:25:55.690405 W | etcdserver: request "header:<ID:14919139277660507285 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-gfffn\" mod_revision:36203715 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-gfffn\" value_size:1042 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-gfffn\" > >>" with result "size:20" took too long (140.544426ms) to execute
Nov 05 01:25:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:25:55.691726 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (151.087524ms) to execute
Nov 05 01:25:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:25:55.691885 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (144.733212ms) to execute
Nov 05 01:25:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:25:55.692103 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9nqmb\" " with result "range_response_count:1 size:1121" took too long (129.524294ms) to execute
Nov 05 01:25:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:25:55.692214 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (145.018042ms) to execute
Nov 05 01:27:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:27:45.905708 I | mvcc: store.index: compact 36203227
Nov 05 01:27:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:27:45.914082 I | mvcc: finished scheduled compaction at 36203227 (took 6.98503ms)
Nov 05 01:29:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:29:29.145412 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (160.37972ms) to execute
Nov 05 01:31:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:31:37.304230 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (347.558224ms) to execute
Nov 05 01:31:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:31:55.557892 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (110.036722ms) to execute
Nov 05 01:32:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:32:02.312308 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (283.990492ms) to execute
Nov 05 01:32:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:32:26.541583 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (207.440522ms) to execute
Nov 05 01:32:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:32:45.923333 I | mvcc: store.index: compact 36204054
Nov 05 01:32:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:32:45.929621 I | mvcc: finished scheduled compaction at 36204054 (took 4.799573ms)
Nov 05 01:33:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:02.642839 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (682.40708ms) to execute
Nov 05 01:33:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:33:02.642953 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (388.294601ms) to execute
