-- Logs begin at Tue 2019-11-05 09:07:00 UTC, end at Fri 2019-11-08 05:21:21 UTC. --
Nov 08 04:59:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:28.085471 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (327.863055ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.489427 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-4v782\" " with result "range_response_count:1 size:3496" took too long (176.074064ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.489637 W | etcdserver: request "header:<ID:14919139277663460768 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-init-crd-10-rjqns\" mod_revision:36958742 > success:<request_put:<key:\"/registry/pods/istio-system/istio-init-crd-10-rjqns\" value_size:1726 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-init-crd-10-rjqns\" > >>" with result "size:20" took too long (135.674185ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.508222 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (174.005455ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.510701 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-4v782\" " with result "range_response_count:1 size:3496" took too long (177.078104ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.741666 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (162.644714ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.742342 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-h5tsb.15d51814fbd9f856\" " with result "range_response_count:1 size:583" took too long (163.157816ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.742618 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-h5tsb\" " with result "range_response_count:1 size:2732" took too long (163.274812ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.743556 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecs\" range_end:\"/registry/config.istio.io/quotaspect\" count_only:true " with result "range_response_count:0 size:7" took too long (115.214798ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.743823 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-h5tsb\" " with result "range_response_count:1 size:2732" took too long (156.535852ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.745278 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-lbhjw\" " with result "range_response_count:1 size:3349" took too long (161.16452ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.001614 W | etcdserver: request "header:<ID:14919139277663460805 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" mod_revision:36958072 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" value_size:687 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" > >>" with result "size:20" took too long (152.637128ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.003231 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-galley-56c4cc5dc6-sd4hk.15d5181501356744\" " with result "range_response_count:1 size:562" took too long (163.736593ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.016659 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-sd4hk\" " with result "range_response_count:1 size:2262" took too long (176.550713ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.277043 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/tracespans\" range_end:\"/registry/config.istio.io/tracespant\" count_only:true " with result "range_response_count:0 size:7" took too long (195.309317ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.277267 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-lvpvb\" " with result "range_response_count:1 size:2732" took too long (193.62701ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.280962 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (176.442475ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.281192 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-security-post-install-1.1.5-t957v\" " with result "range_response_count:1 size:2255" took too long (175.419108ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.517761 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-sd4hk\" " with result "range_response_count:1 size:2262" took too long (151.442403ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.519224 W | etcdserver: request "header:<ID:14919139277663460843 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-sd4hk\" mod_revision:36958777 > success:<request_put:<key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-sd4hk\" value_size:2176 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-sd4hk\" > >>" with result "size:20" took too long (136.017954ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.532411 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-galley-56c4cc5dc6-sd4hk.15d5181501356744\" " with result "range_response_count:1 size:562" took too long (164.316871ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.785290 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (191.730105ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.785330 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-lhflk\" " with result "range_response_count:1 size:2440" took too long (176.332861ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.785353 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (191.889264ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.785531 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (191.962809ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.785560 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-lhflk\" " with result "range_response_count:1 size:2440" took too long (186.679957ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.785673 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (192.109125ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.785774 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-s5zgr\" " with result "range_response_count:1 size:2850" took too long (188.836496ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.785798 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-lhflk\" " with result "range_response_count:1 size:2440" took too long (187.86836ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.785998 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-lhflk\" " with result "range_response_count:1 size:2440" took too long (188.966645ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.786147 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (191.806169ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.786204 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-lhflk\" " with result "range_response_count:1 size:2440" took too long (189.470462ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.786341 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (191.767436ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.817363 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (193.628592ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.817481 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-tracing-77885fdf8d-plfrc\" " with result "range_response_count:1 size:2129" took too long (189.413265ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.817548 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (190.23892ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.817678 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (194.022477ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.817887 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-pilot-service-account-token-rcq4g\" " with result "range_response_count:1 size:2433" took too long (179.609485ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.818007 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (194.370994ms) to execute
Nov 08 05:15:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:25.818174 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (194.416695ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.038808 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-p8br4\" " with result "range_response_count:1 size:2850" took too long (209.273981ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.038918 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-pilot-service-account-token-rcq4g\" " with result "range_response_count:1 size:2433" took too long (212.271801ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.039139 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-pilot-service-account\" " with result "range_response_count:1 size:628" took too long (209.539824ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.039297 W | etcdserver: request "header:<ID:14919139277663460876 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-p8br4.15d5181555d994c6\" mod_revision:36958768 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-p8br4.15d5181555d994c6\" value_size:464 lease:5695767240808684788 >> failure:<request_range:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-p8br4.15d5181555d994c6\" > >>" with result "size:20" took too long (152.907421ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.054687 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-pilot-service-account-token-rcq4g\" " with result "range_response_count:1 size:2433" took too long (127.282373ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.055134 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (187.264744ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.319913 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (196.694336ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.319951 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-smlkd\" " with result "range_response_count:1 size:2746" took too long (199.799891ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.335382 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (170.766256ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.336331 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-smlkd\" " with result "range_response_count:1 size:2746" took too long (192.638348ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.336690 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (202.754399ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.584535 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-8zsx5\" " with result "range_response_count:1 size:3876" took too long (158.388081ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.617909 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (123.556641ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.618498 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-g8m8k\" " with result "range_response_count:1 size:2850" took too long (190.796068ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.618871 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-zg2bc.15d517c74a0aa359\" " with result "range_response_count:1 size:657" took too long (172.693299ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.619702 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-g8m8k.15d518151d90be14\" " with result "range_response_count:1 size:587" took too long (192.10787ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.816323 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-h5tsb.15d51814fbd9f856\" " with result "range_response_count:1 size:583" took too long (162.462926ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.816595 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-h5tsb\" " with result "range_response_count:1 size:2732" took too long (164.078426ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.852060 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha3.networking.istio.io\" " with result "range_response_count:1 size:671" took too long (172.233605ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.852103 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.networking.k8s.io\" " with result "range_response_count:1 size:644" took too long (171.957643ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.852200 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (166.436496ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.852448 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-h5tsb\" " with result "range_response_count:1 size:2732" took too long (172.041207ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.852576 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.policy\" " with result "range_response_count:1 size:625" took too long (172.732723ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.852715 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:683" took too long (171.925504ms) to execute
Nov 08 05:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:26.852881 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (171.454035ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.046917 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (126.337805ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.046950 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-rczzk.15d518152b059c1a\" " with result "range_response_count:1 size:587" took too long (131.189845ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.047210 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (128.691972ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.047225 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3152" took too long (131.897101ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.047385 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-rczzk\" " with result "range_response_count:1 size:2850" took too long (124.933032ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.047652 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (129.101718ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.047874 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "range_response_count:1 size:581" took too long (131.74028ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.048063 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (125.827142ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.048234 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (125.295922ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.265909 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-sd4hk\" " with result "range_response_count:1 size:2262" took too long (114.198729ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.266114 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-galley-56c4cc5dc6-sd4hk.15d5181501356744\" " with result "range_response_count:1 size:562" took too long (112.827623ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.266538 W | etcdserver: request "header:<ID:14919139277663460980 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-sd4hk\" mod_revision:36958799 > success:<request_put:<key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-sd4hk\" value_size:2176 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-sd4hk\" > >>" with result "size:20" took too long (112.036345ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.481319 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-4v782\" " with result "range_response_count:1 size:3496" took too long (128.356921ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.714609 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-h5tsb.15d51814fbd9f856\" " with result "range_response_count:1 size:583" took too long (132.076529ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.750410 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-mixer-service-account-token-vqgwx\" " with result "range_response_count:1 size:2433" took too long (114.330972ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.750931 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-h5tsb\" " with result "range_response_count:1 size:2732" took too long (166.650474ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.751226 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (127.488809ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.751329 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (166.705072ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.751742 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (113.608657ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.937748 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-t2k6v\" " with result "range_response_count:1 size:2850" took too long (120.656588ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.937823 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-t2k6v.15d51815a31b65fc\" " with result "range_response_count:1 size:587" took too long (120.255418ms) to execute
Nov 08 05:15:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:27.938149 W | etcdserver: request "header:<ID:14919139277663461044 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-t2k6v\" mod_revision:36958835 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-t2k6v\" value_size:2756 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-t2k6v\" > >>" with result "size:20" took too long (119.912984ms) to execute
Nov 08 05:15:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:28.157230 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-tracing-77885fdf8d-7h2jd\" " with result "range_response_count:1 size:1740" took too long (120.880486ms) to execute
Nov 08 05:15:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:28.157336 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-tracing-77885fdf8d-7h2jd.15d51815f8e9e5e3\" " with result "range_response_count:1 size:565" took too long (123.789834ms) to execute
Nov 08 05:15:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:28.386321 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-tracing-77885fdf8d-plfrc.15d517c6f33909ea\" " with result "range_response_count:1 size:617" took too long (131.823814ms) to execute
Nov 08 05:15:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:28.414565 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-h5tsb.15d51814fbd9f856\" " with result "range_response_count:1 size:583" took too long (157.316936ms) to execute
Nov 08 05:15:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:28.414833 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-h5tsb\" " with result "range_response_count:1 size:2732" took too long (158.370386ms) to execute
