-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 03:06:06 UTC. --
Nov 02 02:43:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:43:59.948870 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/authorizations\" range_end:\"/registry/config.istio.io/authorizationt\" count_only:true " with result "range_response_count:0 size:7" took too long (385.166946ms) to execute
Nov 02 02:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:04.795704 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (742.626798ms) to execute
Nov 02 02:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:05.558485 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (290.515121ms) to execute
Nov 02 02:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:05.558605 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:6 size:13606" took too long (753.86358ms) to execute
Nov 02 02:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:05.558790 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (385.222259ms) to execute
Nov 02 02:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:05.559279 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3042" took too long (754.156752ms) to execute
Nov 02 02:46:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:08.726036 N | compactor: Starting auto-compaction at revision 35476519
Nov 02 02:46:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:08.726549 N | compactor: Finished auto-compaction at revision 35476519
Nov 02 02:46:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:14.085615 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (408.495055ms) to execute
Nov 02 02:46:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:14.258595 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (417.38711ms) to execute
Nov 02 02:46:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:14.258636 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-2667z\" " with result "range_response_count:1 size:2440" took too long (224.221989ms) to execute
Nov 02 02:46:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:14.977146 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (135.00839ms) to execute
Nov 02 02:46:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:14.977447 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (158.011945ms) to execute
Nov 02 02:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:16.631781 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (247.984861ms) to execute
Nov 02 02:46:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:29.785415 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (166.421799ms) to execute
Nov 02 02:46:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:29.785862 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (215.432514ms) to execute
Nov 02 02:46:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:29.785893 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (543.931957ms) to execute
Nov 02 02:46:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:39.832169 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (119.840707ms) to execute
Nov 02 02:46:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:39.832338 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (673.242641ms) to execute
Nov 02 02:46:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:39.832408 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (157.520005ms) to execute
Nov 02 02:46:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:40.568324 I | mvcc: store.index: compact 35557473
Nov 02 02:46:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:40.575177 I | mvcc: finished scheduled compaction at 35557473 (took 5.010572ms)
Nov 02 02:46:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:40.959545 W | etcdserver: request "header:<ID:14919139277657874646 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:35558792 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (262.012644ms) to execute
Nov 02 02:46:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:40.982910 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (175.254581ms) to execute
Nov 02 02:46:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:53.895046 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (815.702439ms) to execute
Nov 02 02:46:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:53.900830 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (759.150689ms) to execute
Nov 02 02:46:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:53.900940 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/memquotas\" range_end:\"/registry/config.istio.io/memquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (225.252202ms) to execute
Nov 02 02:46:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:53.900967 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (515.813148ms) to execute
Nov 02 02:46:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:53.901108 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-khplk\" " with result "range_response_count:1 size:2314" took too long (120.217807ms) to execute
Nov 02 02:46:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:55.211632 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (163.903236ms) to execute
Nov 02 02:47:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:04.131192 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (153.224724ms) to execute
Nov 02 02:47:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:04.131307 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/virtualservices\" range_end:\"/registry/networking.istio.io/virtualservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (113.029341ms) to execute
Nov 02 02:47:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:04.131377 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (176.303123ms) to execute
Nov 02 02:47:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:05.466893 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/sidecars\" range_end:\"/registry/networking.istio.io/sidecart\" count_only:true " with result "range_response_count:0 size:7" took too long (312.346019ms) to execute
Nov 02 02:47:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:05.467110 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (184.524672ms) to execute
Nov 02 02:47:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:05.468288 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (347.179682ms) to execute
Nov 02 02:47:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:09.995330 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (282.821469ms) to execute
Nov 02 02:47:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:09.995565 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/prometheuses\" range_end:\"/registry/config.istio.io/prometheuset\" count_only:true " with result "range_response_count:0 size:7" took too long (526.76168ms) to execute
Nov 02 02:47:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:09.995578 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecs\" range_end:\"/registry/config.istio.io/httpapispect\" count_only:true " with result "range_response_count:0 size:7" took too long (200.781163ms) to execute
Nov 02 02:47:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:10.616845 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (239.547757ms) to execute
Nov 02 02:47:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:10.616880 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (108.233395ms) to execute
Nov 02 02:47:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:10.616999 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/statsds\" range_end:\"/registry/config.istio.io/statsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (258.179823ms) to execute
Nov 02 02:47:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:10.617047 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (363.910944ms) to execute
Nov 02 02:47:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:25.897666 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (271.363964ms) to execute
Nov 02 02:47:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:25.898040 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-2667z\" " with result "range_response_count:1 size:2440" took too long (909.631352ms) to execute
Nov 02 02:47:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:25.898098 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (179.545469ms) to execute
Nov 02 02:47:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:25.898201 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (527.030494ms) to execute
Nov 02 02:47:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:25.898223 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (238.980118ms) to execute
Nov 02 02:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:29.311992 W | wal: sync duration of 1.072153163s, expected less than 1s
Nov 02 02:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:29.314364 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (1.068390758s) to execute
Nov 02 02:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:29.314706 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (926.305162ms) to execute
Nov 02 02:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:29.315028 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (610.253688ms) to execute
Nov 02 02:47:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:29.315312 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecbindings\" range_end:\"/registry/config.istio.io/httpapispecbindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (363.776794ms) to execute
Nov 02 02:47:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:34.799904 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (539.306477ms) to execute
Nov 02 02:47:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:34.815997 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (365.116156ms) to execute
Nov 02 02:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:40.684453 W | wal: sync duration of 1.022730999s, expected less than 1s
Nov 02 02:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:40.686937 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (272.790561ms) to execute
Nov 02 02:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:40.687243 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/destinationrules\" range_end:\"/registry/networking.istio.io/destinationrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (703.960979ms) to execute
Nov 02 02:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:40.687326 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:80395" took too long (937.158088ms) to execute
Nov 02 02:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:40.687791 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (883.069223ms) to execute
Nov 02 02:47:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:40.688299 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (233.19886ms) to execute
Nov 02 02:47:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:43.594829 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (647.090863ms) to execute
Nov 02 02:47:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:43.595250 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (343.534756ms) to execute
Nov 02 02:47:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:43.595482 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (182.945643ms) to execute
Nov 02 02:47:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:43.595667 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (215.010845ms) to execute
Nov 02 02:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:46.098209 W | wal: sync duration of 1.281075062s, expected less than 1s
Nov 02 02:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:46.101233 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.250421422s) to execute
Nov 02 02:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:46.130428 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (575.092582ms) to execute
Nov 02 02:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:46.130639 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (840.210106ms) to execute
Nov 02 02:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:46.130998 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (526.445841ms) to execute
Nov 02 02:47:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:46.131314 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (196.420148ms) to execute
Nov 02 02:47:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:54.607946 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (412.708121ms) to execute
Nov 02 02:47:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:56.385168 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (183.573913ms) to execute
Nov 02 02:47:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:56.385206 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (212.658106ms) to execute
Nov 02 02:47:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:47:56.385275 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (208.073991ms) to execute
Nov 02 02:51:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:51:40.580630 I | mvcc: store.index: compact 35558811
Nov 02 02:51:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:51:40.589740 I | mvcc: finished scheduled compaction at 35558811 (took 7.026835ms)
Nov 02 02:51:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:51:41.198443 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (274.968403ms) to execute
Nov 02 02:51:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:51:41.198550 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (135.642505ms) to execute
Nov 02 02:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:56:40.594168 I | mvcc: store.index: compact 35559343
Nov 02 02:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:56:40.600377 I | mvcc: finished scheduled compaction at 35559343 (took 4.427566ms)
Nov 02 03:01:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:01:40.607839 I | mvcc: store.index: compact 35559874
Nov 02 03:01:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:01:40.618115 I | mvcc: finished scheduled compaction at 35559874 (took 8.020883ms)
