-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 16:13:29 UTC. --
Dec 16 15:51:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:51:09.465473 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (180.668393ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421188 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2p2l8\" " with result "range_response_count:1 size:4261" took too long (16.465501112s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421254 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (11.363407897s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421373 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (16.507259613s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421407 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (4.86442376s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421570 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421594 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (12.112799856s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421607 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/checknothings\" range_end:\"/registry/config.istio.io/checknothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (16.695338218s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421632 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (11.460694121s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421784 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-citadel-service-account-token-8qlqq\" " with result "range_response_count:1 size:2447" took too long (16.772099271s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421885 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (5.061623873s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.422063 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-controller-manager-openhouse-demo-k8s-master-1.15d2b86a2e76e0bc\" " with result "range_response_count:0 size:7" took too long (6.323843541s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.422295 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (6.185254087s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.422378 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (7.037818579s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.422531 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.422551 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.422753 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.422761 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.422768 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.422776 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (15.552275325s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.422842 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (8.722841257s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.423109 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (15.642481113s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.423302 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.423325 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.423566 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (15.776525818s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.489901 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (1.553777268s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.490170 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stdios\" range_end:\"/registry/config.istio.io/stdiot\" count_only:true " with result "range_response_count:0 size:7" took too long (667.335839ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.490490 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4hl22\" " with result "range_response_count:1 size:4141" took too long (697.780957ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.490671 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (192.77732ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.491086 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (996.867333ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.492079 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-d929g\" " with result "range_response_count:1 size:2440" took too long (1.708631689s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.492787 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.992830704s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.494209 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (615.224439ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.495979 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:3989" took too long (269.521368ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.750661 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (291.764189ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.750725 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-citadel-service-account\" " with result "range_response_count:1 size:648" took too long (303.099146ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.750877 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/resourcequota-controller\" " with result "range_response_count:1 size:271" took too long (301.503006ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.751005 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (301.500875ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.751435 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (308.595257ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.751527 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (303.877603ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.751618 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (303.729795ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.751647 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (305.073282ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.751705 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (292.728629ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.751787 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (302.635879ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.751855 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (306.146029ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.751959 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/coredns\" " with result "range_response_count:1 size:575" took too long (302.818573ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.751990 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (307.702952ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.752060 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-kube-state-metrics\" " with result "range_response_count:1 size:498" took too long (306.53566ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.752137 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (307.152786ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.752215 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (307.756657ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.752449 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (307.712242ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.752480 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (305.606814ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.752546 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (302.867961ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.752611 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pod-garbage-collector\" " with result "range_response_count:1 size:262" took too long (304.687749ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.752681 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (302.774777ms) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.752839 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (304.399798ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.207654 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (695.220056ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.207709 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-scheduler-openhouse-demo-k8s-master-1.15d2b8691f895acb\" " with result "range_response_count:0 size:7" took too long (697.768801ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.207742 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (693.989145ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.207848 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-sidecar-injector-8946597f4-dhrdr.15e0e521b777476b\" " with result "range_response_count:1 size:695" took too long (676.345833ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.207906 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-sidecar-injector-8946597f4-dhrdr\" " with result "range_response_count:1 size:2785" took too long (675.899661ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.208018 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2p2l8\" " with result "range_response_count:1 size:4141" took too long (698.312932ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.208148 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (698.962476ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.208241 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1428" took too long (518.866142ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.208478 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/prometheus\" " with result "range_response_count:1 size:580" took too long (714.360148ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.208796 W | etcdserver: request "header:<ID:14919139277704744626 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:44346816 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (351.650658ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.208859 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:0 size:7" took too long (451.064815ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.208887 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4hl22\" " with result "range_response_count:1 size:4261" took too long (383.993229ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.209053 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (435.586948ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.209148 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (434.635353ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.209234 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (434.501725ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.209246 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-controller-manager-openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:3642" took too long (375.109377ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.209286 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:3989" took too long (437.206939ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.209385 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3043" took too long (435.166977ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.209555 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (438.528487ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.209636 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (441.512673ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.209650 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (441.536671ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.209907 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (440.798112ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.210291 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (436.700549ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.561141 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:3989" took too long (338.191315ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.989034 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (682.908916ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.989523 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-sidecar-injector-service-account-token-tgv8b\" " with result "range_response_count:1 size:2510" took too long (469.927146ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.989675 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1910" took too long (563.316573ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.989742 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (658.104467ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.989834 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-sidecar-injector-8946597f4-dhrdr.15e0e52258218d58\" " with result "range_response_count:1 size:694" took too long (679.22934ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.989998 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4hl22\" " with result "range_response_count:1 size:4261" took too long (748.796471ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.990153 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-sidecar-injector-8946597f4-dhrdr\" " with result "range_response_count:1 size:2785" took too long (763.373467ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.990303 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (765.106197ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.990535 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (767.300563ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.990913 W | etcdserver: request "header:<ID:14919139277704744636 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:0 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:63 lease:5695767240849968822 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (290.695706ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.991020 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-controller-manager-openhouse-demo-k8s-master-1.15d04be17ca0bb4e\" " with result "range_response_count:0 size:7" took too long (420.605463ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.991194 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2p2l8\" " with result "range_response_count:1 size:4261" took too long (420.288229ms) to execute
Dec 16 15:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:13.991216 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-scheduler-openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:1736" took too long (128.724614ms) to execute
Dec 16 15:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:14.497009 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-scheduler-openhouse-demo-k8s-master-1.15d04bdb9a6ef57f\" " with result "range_response_count:0 size:7" took too long (486.289795ms) to execute
Dec 16 15:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:14.497080 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (222.913115ms) to execute
Dec 16 15:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:14.497226 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-sidecar-injector-8946597f4-dhrdr.15e0e521b777476b\" " with result "range_response_count:1 size:695" took too long (493.684351ms) to execute
Dec 16 15:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:14.497294 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2p2l8\" " with result "range_response_count:1 size:4261" took too long (483.103501ms) to execute
Dec 16 15:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:14.497347 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-sidecar-injector-8946597f4-dhrdr\" " with result "range_response_count:1 size:2785" took too long (494.573564ms) to execute
Dec 16 15:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:14.497541 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-sidecar-injector-service-account\" " with result "range_response_count:1 size:794" took too long (499.711853ms) to execute
Dec 16 15:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:14.498063 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:3 size:12532" took too long (283.319378ms) to execute
Dec 16 15:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:14.743359 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (239.742136ms) to execute
Dec 16 15:57:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:14.743437 W | etcdserver: request "header:<ID:14919139277704744649 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/kube-system/kube-scheduler-openhouse-demo-k8s-master-1.15d04bdb9a6ef57f\" mod_revision:0 > success:<request_put:<key:\"/registry/events/kube-system/kube-scheduler-openhouse-demo-k8s-master-1.15d04bdb9a6ef57f\" value_size:478 lease:5695767240849968587 >> failure:<>>" with result "size:20" took too long (133.026538ms) to execute
Dec 16 15:57:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:15.106962 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-controller-manager-openhouse-demo-k8s-master-1.15d04be1b5711dd3\" " with result "range_response_count:0 size:7" took too long (356.175226ms) to execute
Dec 16 15:57:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:15.107074 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations/istio-sidecar-injector\" " with result "range_response_count:1 size:2245" took too long (603.458009ms) to execute
