-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 10:05:03 UTC. --
Feb 01 09:41:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:41:58.579998 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/000000000000073c-00000000037b5c72.wal successfully
Feb 01 10:00:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:42.357543 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (955.044717ms) to execute
Feb 01 10:00:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:42.357852 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (539.679665ms) to execute
Feb 01 10:00:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:43.277921 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (730.747694ms) to execute
Feb 01 10:00:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:43.284421 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (175.98343ms) to execute
Feb 01 10:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:44.867179 W | wal: sync duration of 1.506039952s, expected less than 1s
Feb 01 10:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:44.867487 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (992.24606ms) to execute
Feb 01 10:00:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:45.737795 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (865.237299ms) to execute
Feb 01 10:00:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:45.737839 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (447.153349ms) to execute
Feb 01 10:00:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:45.738082 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (1.46366448s) to execute
Feb 01 10:00:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:45.738099 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (613.874603ms) to execute
Feb 01 10:00:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:45.738248 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (318.31706ms) to execute
Feb 01 10:00:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:45.738466 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (454.806241ms) to execute
Feb 01 10:00:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:48.957337 W | wal: sync duration of 1.133441983s, expected less than 1s
Feb 01 10:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:49.949281 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (368.020462ms) to execute
Feb 01 10:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:49.949314 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (191.770669ms) to execute
Feb 01 10:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:49.949546 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (190.769454ms) to execute
Feb 01 10:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:49.949633 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (712.694533ms) to execute
Feb 01 10:00:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:49.951913 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (712.432648ms) to execute
Feb 01 10:00:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:51.910453 W | wal: sync duration of 1.946990366s, expected less than 1s
Feb 01 10:00:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:51.913040 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.777678341s) to execute
Feb 01 10:00:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:51.913062 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (1.942760497s) to execute
Feb 01 10:00:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:51.913108 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (893.419775ms) to execute
Feb 01 10:00:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:51.913196 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (354.225354ms) to execute
Feb 01 10:00:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:52.729713 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (758.57727ms) to execute
Feb 01 10:00:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:52.863242 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (891.710938ms) to execute
Feb 01 10:00:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:52.863812 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (202.743485ms) to execute
Feb 01 10:00:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:54.542159 W | etcdserver: request "header:<ID:14919139277751176344 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53162400 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (386.276166ms) to execute
Feb 01 10:00:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:55.161357 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (886.899206ms) to execute
Feb 01 10:00:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:55.161404 W | etcdserver: request "header:<ID:14919139277751176345 > lease_revoke:<id:4f0b6e20ccefcc3d>" with result "size:29" took too long (119.655427ms) to execute
Feb 01 10:00:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:55.161639 W | etcdserver: failed to revoke 4f0b6e20ccefcc3d ("lease not found")
Feb 01 10:00:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:55.293972 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (420.893675ms) to execute
Feb 01 10:00:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:55.294091 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (424.029165ms) to execute
Feb 01 10:00:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:55.294143 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (126.840312ms) to execute
Feb 01 10:00:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:58.585753 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (553.462821ms) to execute
Feb 01 10:01:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:02.812126 W | wal: sync duration of 1.478034745s, expected less than 1s
Feb 01 10:01:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:04.019034 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (2.680578173s) to execute
Feb 01 10:01:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:04.019223 W | etcdserver: request "header:<ID:14919139277751176419 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:53162415 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (1.20651661s) to execute
Feb 01 10:01:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:04.637093 W | wal: sync duration of 1.824692713s, expected less than 1s
Feb 01 10:01:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:04.639582 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (2.167212405s) to execute
Feb 01 10:01:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:04.639672 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (3.194762408s) to execute
Feb 01 10:01:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:05.161261 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (173.879947ms) to execute
Feb 01 10:01:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:05.161543 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.822536696s) to execute
Feb 01 10:01:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:05.161855 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.678215869s) to execute
Feb 01 10:01:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:05.161898 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (886.428374ms) to execute
Feb 01 10:01:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:05.162400 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (375.090548ms) to execute
Feb 01 10:01:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:06.760590 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (112.452025ms) to execute
Feb 01 10:01:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:09.199562 W | wal: sync duration of 1.328897996s, expected less than 1s
Feb 01 10:01:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:09.204195 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (435.309328ms) to execute
Feb 01 10:01:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:12.594167 W | wal: sync duration of 1.371064646s, expected less than 1s
Feb 01 10:01:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:12.597828 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (323.883314ms) to execute
Feb 01 10:01:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:15.526059 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (1.251480475s) to execute
Feb 01 10:01:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:15.526157 W | etcdserver: request "header:<ID:14919139277751176494 > lease_revoke:<id:4f0b6e20ccefccba>" with result "size:29" took too long (763.245223ms) to execute
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.241357 W | wal: sync duration of 1.478523943s, expected less than 1s
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.399633 W | etcdserver: request "header:<ID:14919139277751176498 > lease_revoke:<id:4f0b6e20ccefccba>" with result "error:lease not found" took too long (157.978074ms) to execute
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.399893 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.795869941s) to execute
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.400230 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (1.92514444s) to execute
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.400469 W | etcdserver: failed to revoke 4f0b6e20ccefccba ("lease not found")
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.400892 W | etcdserver: failed to revoke 4f0b6e20ccefccba ("lease not found")
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.787547 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.254802142s) to execute
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.787707 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (879.377251ms) to execute
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.787851 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.010760447s) to execute
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.787903 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (1.726753337s) to execute
Feb 01 10:01:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:16.788165 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.550315582s) to execute
Feb 01 10:01:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:22.400216 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (229.705092ms) to execute
Feb 01 10:01:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:22.400537 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (567.47007ms) to execute
Feb 01 10:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:24.810899 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (536.813336ms) to execute
Feb 01 10:01:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:24.811293 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (244.319929ms) to execute
Feb 01 10:01:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:26.922361 W | wal: sync duration of 1.3772604s, expected less than 1s
Feb 01 10:01:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:27.372119 W | etcdserver: request "header:<ID:14919139277751176558 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:53162450 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (449.291258ms) to execute
Feb 01 10:01:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:27.372553 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (564.144739ms) to execute
Feb 01 10:01:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:27.517646 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (680.22422ms) to execute
Feb 01 10:01:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:27.517750 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (141.270313ms) to execute
Feb 01 10:01:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:27.517954 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (685.726313ms) to execute
Feb 01 10:01:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:27.518638 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (514.962096ms) to execute
Feb 01 10:01:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:28.755444 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (785.645714ms) to execute
Feb 01 10:01:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:28.755577 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (345.545525ms) to execute
Feb 01 10:01:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:28.755685 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (605.788735ms) to execute
Feb 01 10:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:33.735060 W | wal: sync duration of 2.186037999s, expected less than 1s
Feb 01 10:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:33.738425 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-fw6n6.15ef3e1f4d209ace\" " with result "range_response_count:1 size:588" took too long (1.968249733s) to execute
Feb 01 10:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:33.738571 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (184.493863ms) to execute
Feb 01 10:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:33.738637 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (577.606821ms) to execute
Feb 01 10:01:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:33.740989 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (2.15364605s) to execute
Feb 01 10:01:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:36.761983 W | wal: sync duration of 2.681825477s, expected less than 1s
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.193176 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (2.986367912s) to execute
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.193482 W | etcdserver: request "header:<ID:14919139277751176638 > lease_revoke:<id:4f0b6e20ccefcd4c>" with result "size:29" took too long (431.158662ms) to execute
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.193817 W | etcdserver: failed to revoke 4f0b6e20ccefcd4c ("lease not found")
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.193846 W | etcdserver: failed to revoke 4f0b6e20ccefcd4c ("lease not found")
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.193949 W | etcdserver: failed to revoke 4f0b6e20ccefcd4c ("lease not found")
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.193986 W | etcdserver: failed to revoke 4f0b6e20ccefcd4c ("lease not found")
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.274289 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (2.998102979s) to execute
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.274343 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.708854804s) to execute
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.274385 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (2.593427265s) to execute
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.274660 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (2.112870095s) to execute
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.274899 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.522701125s) to execute
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.275053 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.532038883s) to execute
Feb 01 10:01:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:37.275352 W | etcdserver: failed to revoke 4f0b6e20ccefcd4c ("lease not found")
Feb 01 10:01:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:38.515118 W | wal: sync duration of 1.234203234s, expected less than 1s
Feb 01 10:01:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:38.516589 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (1.231515206s) to execute
Feb 01 10:01:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:38.570046 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (961.078132ms) to execute
Feb 01 10:01:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:38.570352 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.037370409s) to execute
Feb 01 10:01:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:38.570599 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.154020205s) to execute
Feb 01 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:45.214010 W | wal: sync duration of 1.091497825s, expected less than 1s
Feb 01 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:45.216797 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (942.026234ms) to execute
Feb 01 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:45.216939 W | etcdserver: failed to revoke 4f0b6e20ccefcda1 ("lease not found")
Feb 01 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:45.217002 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (680.331177ms) to execute
Feb 01 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:45.217024 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (208.188248ms) to execute
Feb 01 10:01:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:46.632217 W | wal: sync duration of 1.289455409s, expected less than 1s
Feb 01 10:01:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:47.796075 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (447.467066ms) to execute
Feb 01 10:01:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:01:47.796248 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (570.627024ms) to execute
