-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 08:53:21 UTC. --
Oct 10 08:32:18 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:32:18.729477 N | compactor: Starting auto-compaction at revision 32009669
Oct 10 08:36:31 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:31.682530 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/statsds\" range_end:\"/registry/config.istio.io/statsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (213.689312ms) to execute
Oct 10 08:36:31 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:31.682646 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-init-service-account-token-dl9q8\" " with result "range_response_count:1 size:2426" took too long (143.198175ms) to execute
Oct 10 08:36:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:32.255250 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-82mbn\" " with result "range_response_count:1 size:4136" took too long (123.646908ms) to execute
Oct 10 08:36:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:32.286483 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (127.031732ms) to execute
Oct 10 08:36:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:32.286591 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (100.702854ms) to execute
Oct 10 08:36:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:32.481821 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (123.228389ms) to execute
Oct 10 08:36:41 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:41.575191 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (429.249316ms) to execute
Oct 10 08:36:41 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:41.579277 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (125.075937ms) to execute
Oct 10 08:36:41 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:41.579484 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (229.846654ms) to execute
Oct 10 08:36:41 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:41.579649 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (393.443701ms) to execute
Oct 10 08:36:41 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:41.579822 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (433.6005ms) to execute
Oct 10 08:36:47 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:47.273002 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (172.819944ms) to execute
Oct 10 08:36:47 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:47.273163 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (112.822555ms) to execute
Oct 10 08:36:50 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:50.520853 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (268.423865ms) to execute
Oct 10 08:37:02 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:02.716044 W | wal: sync duration of 1.101853761s, expected less than 1s
Oct 10 08:37:02 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:02.716424 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/sidecars\" range_end:\"/registry/networking.istio.io/sidecart\" count_only:true " with result "range_response_count:0 size:7" took too long (694.119034ms) to execute
Oct 10 08:37:02 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:02.722991 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-zzbj9\" " with result "range_response_count:1 size:2314" took too long (561.698804ms) to execute
Oct 10 08:37:02 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:02.723241 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (116.685846ms) to execute
Oct 10 08:37:02 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:02.723462 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (192.040268ms) to execute
Oct 10 08:37:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:04.063138 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (195.044489ms) to execute
Oct 10 08:37:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:04.063651 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (245.694792ms) to execute
Oct 10 08:37:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:04.064011 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (245.282888ms) to execute
Oct 10 08:37:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:04.423554 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (340.884699ms) to execute
Oct 10 08:37:10 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:10.606993 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (316.100638ms) to execute
Oct 10 08:37:11 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:11.688838 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (399.686187ms) to execute
Oct 10 08:37:11 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:11.698858 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (347.145861ms) to execute
Oct 10 08:37:11 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:11.698974 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (254.352994ms) to execute
Oct 10 08:37:11 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:11.699118 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (326.488849ms) to execute
Oct 10 08:37:13 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:13.386260 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-zzbj9\" " with result "range_response_count:1 size:2314" took too long (217.357375ms) to execute
Oct 10 08:37:13 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:13.938422 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (225.71391ms) to execute
Oct 10 08:37:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:21.873584 I | mvcc: store.index: compact 32070848
Oct 10 08:37:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:21.887576 W | etcdserver: request "header:<ID:14919138748426609702 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:32070848 > " with result "size:7" took too long (123.354116ms) to execute
Oct 10 08:37:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:21.890608 I | mvcc: finished scheduled compaction at 32070848 (took 14.026172ms)
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.516836 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pw47h\" " with result "range_response_count:1 size:4261" took too long (1.491653663s) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.516975 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.542702732s) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.517260 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (910.617335ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.517712 W | etcdserver: request "header:<ID:14919138748426609707 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:32071709 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (755.746159ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.539195 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (771.53565ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.864219 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (788.432906ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.864279 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (318.591334ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.864544 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/memquotas\" range_end:\"/registry/config.istio.io/memquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (951.86927ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.864590 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/prometheuses\" range_end:\"/registry/config.istio.io/prometheuset\" count_only:true " with result "range_response_count:0 size:7" took too long (676.806054ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.864811 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-zzbj9\" " with result "range_response_count:1 size:2314" took too long (195.739151ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.865050 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/rules\" range_end:\"/registry/config.istio.io/rulet\" count_only:true " with result "range_response_count:0 size:9" took too long (262.570942ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.865089 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (307.183284ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.865209 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (343.53151ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.865300 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (308.180152ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.865317 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2blsl\" " with result "range_response_count:1 size:4140" took too long (736.450496ms) to execute
Oct 10 08:37:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:23.865378 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (704.645882ms) to execute
Oct 10 08:37:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:30.375408 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "range_response_count:0 size:9" took too long (226.384398ms) to execute
Oct 10 08:37:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:30.375887 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-jg8fx\" " with result "range_response_count:1 size:2440" took too long (119.376929ms) to execute
Oct 10 08:37:30 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:30.376152 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (143.73127ms) to execute
Oct 10 08:37:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:32.481532 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (318.547146ms) to execute
Oct 10 08:37:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:32.481790 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (449.504889ms) to execute
Oct 10 08:37:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:40.762243 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (247.603407ms) to execute
Oct 10 08:37:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:40.762290 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (318.271934ms) to execute
Oct 10 08:37:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:40.762545 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (471.841102ms) to execute
Oct 10 08:37:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:40.762661 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (621.256537ms) to execute
Oct 10 08:37:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:40.762738 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-cleanup-secrets-service-account-token-m5vb4\" " with result "range_response_count:1 size:2503" took too long (353.070594ms) to execute
Oct 10 08:37:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:40.762964 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecs\" range_end:\"/registry/config.istio.io/httpapispect\" count_only:true " with result "range_response_count:0 size:7" took too long (588.037004ms) to execute
Oct 10 08:37:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:46.149455 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (244.256301ms) to execute
Oct 10 08:37:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:46.149532 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "range_response_count:1 size:581" took too long (245.331302ms) to execute
Oct 10 08:37:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:46.150072 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "range_response_count:1 size:667" took too long (244.728447ms) to execute
Oct 10 08:37:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:46.150611 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (244.980791ms) to execute
Oct 10 08:37:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:46.152321 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (248.181832ms) to execute
Oct 10 08:37:57 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:37:57.124245 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/opas\" range_end:\"/registry/config.istio.io/opat\" count_only:true " with result "range_response_count:0 size:7" took too long (143.587293ms) to execute
Oct 10 08:38:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:38:22.363309 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (472.479566ms) to execute
Oct 10 08:38:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:38:22.363449 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-grafana\" " with result "range_response_count:1 size:384" took too long (318.86699ms) to execute
Oct 10 08:38:25 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:38:25.080031 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (147.811829ms) to execute
Oct 10 08:38:25 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:38:25.089928 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (133.231897ms) to execute
Oct 10 08:38:25 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:38:25.090071 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-mzgdq.15cc3c3455e811cd\" " with result "range_response_count:1 size:591" took too long (130.729838ms) to execute
Oct 10 08:39:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:39:35.996434 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2blsl\" " with result "range_response_count:1 size:4260" took too long (676.16665ms) to execute
Oct 10 08:39:36 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:39:35.996746 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (467.723498ms) to execute
Oct 10 08:39:36 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:39:35.996871 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (205.024744ms) to execute
Oct 10 08:39:36 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:39:35.996941 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (587.324664ms) to execute
Oct 10 08:39:36 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:39:35.997081 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (539.213644ms) to execute
Oct 10 08:39:36 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:39:35.997114 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-node-exporter-token-dr68x\" " with result "range_response_count:1 size:2546" took too long (456.088177ms) to execute
Oct 10 08:39:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:39:42.416741 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (391.913541ms) to execute
Oct 10 08:39:47 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:39:47.026796 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (286.645161ms) to execute
Oct 10 08:39:47 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:39:47.026972 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (305.856887ms) to execute
Oct 10 08:39:47 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:39:47.027318 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (591.992388ms) to execute
Oct 10 08:42:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:42:21.919885 I | mvcc: store.index: compact 32071727
Oct 10 08:42:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:42:21.927676 I | mvcc: finished scheduled compaction at 32071727 (took 6.224326ms)
Oct 10 08:43:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:43:45.825677 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecs\" range_end:\"/registry/config.istio.io/quotaspect\" count_only:true " with result "range_response_count:0 size:7" took too long (435.795067ms) to execute
Oct 10 08:43:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:43:45.825736 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r97rw\" " with result "range_response_count:1 size:4145" took too long (481.925575ms) to execute
Oct 10 08:43:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:43:45.825753 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (833.408361ms) to execute
Oct 10 08:43:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:43:45.825823 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (833.386566ms) to execute
Oct 10 08:44:35 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:44:35.089512 W | etcdserver: request "header:<ID:14919138748426614647 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:32072871 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (102.547396ms) to execute
Oct 10 08:47:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:47:21.935748 I | mvcc: store.index: compact 32072498
Oct 10 08:47:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:47:21.943097 I | mvcc: finished scheduled compaction at 32072498 (took 5.471256ms)
Oct 10 08:47:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:47:22.153220 W | etcdserver: request "header:<ID:14919138748426616733 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-pw47h\" mod_revision:32073359 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-pw47h\" value_size:4065 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-pw47h\" > >>" with result "size:20" took too long (139.99765ms) to execute
Oct 10 08:47:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:47:45.571183 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (104.035316ms) to execute
Oct 10 08:48:47 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:48:47.807920 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (105.91125ms) to execute
Oct 10 08:52:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:52:21.948342 I | mvcc: store.index: compact 32073395
Oct 10 08:52:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:52:21.959147 I | mvcc: finished scheduled compaction at 32073395 (took 8.664581ms)
Oct 10 08:52:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:52:22.191491 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:6 size:13606" took too long (171.021581ms) to execute
