-- Logs begin at Fri 2020-01-31 15:46:29 UTC, end at Sun 2020-02-02 04:01:22 UTC. --
Feb 02 03:38:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:17.248325 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-sidecar-injector-8946597f4-6br4h.15ef78a806a059df\" " with result "range_response_count:1 size:647" took too long (171.455512ms) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.140950 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "error:etcdserver: request timed out" took too long (24.81352425s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.140979 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "error:etcdserver: request timed out" took too long (25.162370364s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.141014 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/solarwindses\" range_end:\"/registry/config.istio.io/solarwindset\" count_only:true " with result "error:etcdserver: request timed out" took too long (25.377425289s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.141041 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "error:etcdserver: request timed out" took too long (25.453712664s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.141077 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "error:etcdserver: request timed out" took too long (25.458467951s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.141135 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "error:etcdserver: request timed out" took too long (25.55165274s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.141194 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kuberneteses\" range_end:\"/registry/config.istio.io/kuberneteset\" count_only:true " with result "error:etcdserver: request timed out" took too long (25.929079474s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.141233 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "error:etcdserver: request timed out" took too long (26.085887486s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.143676 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.886154612s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.143734 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "error:etcdserver: request timed out" took too long (26.468204248s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.143783 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/dogstatsds\" range_end:\"/registry/config.istio.io/dogstatsdt\" count_only:true " with result "error:etcdserver: request timed out" took too long (26.963838871s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.143845 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecbindings\" range_end:\"/registry/config.istio.io/quotaspecbindingt\" count_only:true " with result "error:etcdserver: request timed out" took too long (28.607403148s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.143908 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "error:etcdserver: request timed out" took too long (29.577156742s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.143971 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "error:etcdserver: request timed out" took too long (29.673679503s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.144047 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.833498394s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.144103 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.853625033s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.144160 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/noops\" range_end:\"/registry/config.istio.io/noopt\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.869073465s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.144211 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.869171496s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.144253 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/sidecars\" range_end:\"/registry/networking.istio.io/sidecart\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.884019539s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.144301 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/destinationrules\" range_end:\"/registry/networking.istio.io/destinationrulet\" count_only:true " with result "error:etcdserver: request timed out" took too long (29.886446048s) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.422561 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.422638 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("etcdserver: request timed out")
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.491030 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "error:context canceled" took too long (108.143126ms) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.559751 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "error:context canceled" took too long (256.268394ms) to execute
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.922920 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:50:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:20.923189 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("etcdserver: request timed out")
Feb 02 03:50:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:21.423365 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:50:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:21.423434 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("etcdserver: request timed out")
Feb 02 03:50:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:21.434613 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "error:context canceled" took too long (1.131885075s) to execute
Feb 02 03:50:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:21.923585 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("etcdserver: request timed out")
Feb 02 03:50:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:21.923673 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.174374 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "error:context canceled" took too long (1.870862961s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.426344 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("etcdserver: request timed out")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.426388 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.437872 W | wal: sync duration of 1m2.730977423s, expected less than 1s
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445791 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445821 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445834 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445844 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445858 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445869 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445881 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445902 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445931 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445951 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445963 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.445982 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446000 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446033 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446060 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446074 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446085 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446103 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446134 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446159 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446179 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446192 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446202 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446214 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446225 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446237 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446247 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446258 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446267 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446278 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446289 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446307 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446319 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446330 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446340 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446350 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446360 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446371 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446381 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446392 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446402 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446413 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446424 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446434 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446444 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446455 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446465 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446476 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446485 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446496 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446505 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446517 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446528 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446538 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446548 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446559 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446569 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446579 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446590 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446601 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446613 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446624 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446635 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446647 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446657 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446667 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446684 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446709 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446724 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446736 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446747 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446758 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446767 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446785 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446796 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446807 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446817 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446827 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446843 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446860 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446871 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446881 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446891 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446902 W | etcdserver: failed to revoke 4f0b6e20ccfaa48d ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446912 W | etcdserver: failed to revoke 4f0b6e20ccfa1bcd ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.446922 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("lease not found")
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.447007 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (2.726386757s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.451428 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (4.700012468s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.451632 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-rs2dq\" " with result "range_response_count:1 size:2440" took too long (4.873094563s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.451818 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (4.983116918s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.452017 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (4.989316723s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.452185 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (5.262850386s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.452363 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (5.466736826s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.452545 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (5.946726088s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.452769 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (6.099123433s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.452950 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9j7jt\" " with result "range_response_count:1 size:4140" took too long (7.321694124s) to execute
Feb 02 03:50:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:50:22.453133 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecs\" range_end:\"/registry/config.istio.io/httpapispect\" count_only:true " with result "range_response_count:0 size:7" took too long (7.676732199s) to execute
